Mixture	EPCAM	Eo	Er	M0	M1	M2	Mg	Mono	NK	NaiveCD4	NaiveCD8	PMN	Tregs	cm4	cm8	ed8	em4	em8	iDC	mB	mDC	nB
BS-Seq_01-spike	0.02568323106108602	0.02022795793172137	0.01934127176933661	0.02652317066537535	0.029015821950049397	0.021501312950495018	0.025077575841190917	0.03211536268326831	0.032277436344132965	0.09398009533398867	0.07178738625573301	0.02202914998800222	0.07940809668399752	0.09619218649082871	0.08008527798187369	0.056147115982482995	0.09018711267110216	0.07969167662933312	0.02492954011695673	0.01940824335697647	0.029048168434839122	0.025342808877229703
BS-Seq_03-spike	0.014215120151966146	0.01696072519845331	0.014500405900920775	0.022921194829591988	0.02229439105391106	0.01717806043796056	0.019609252054996158	0.03292113684083518	0.03386493513568831	0.10502141910805858	0.08584662082605928	0.019948224580087055	0.0855238964449652	0.10392768434158328	0.08224834168924933	0.05831532229966451	0.08968518459331273	0.08345698406282859	0.021686215496444224	0.019368010476833047	0.024184154095855653	0.026322720380735038
BS-Seq_04-spike	0.012859666922814254	0.0170843879972158	0.012213639120998956	0.022440717160553566	0.022203810245830697	0.01628504845661593	0.01790626504260354	0.03334568630833059	0.03360755080220934	0.1062455545244571	0.08709705306968668	0.020217137637871238	0.08823498754442914	0.10097010843775933	0.08577277384622811	0.05991401763491858	0.0932744349044673	0.07985062510759562	0.022569033025130462	0.018789328706045123	0.02372625072997987	0.025391922774258713
BS-Seq_05-spike	0.012288846796776267	0.01633988788375461	0.01209955034298082	0.02245712959753636	0.021550779091433887	0.016907685393991508	0.017797281045815624	0.03213254491747402	0.03433113787445202	0.11051540081055158	0.08642359304801554	0.01954016749827445	0.08734257246883459	0.10073534030355352	0.08269248415871307	0.060063817582675684	0.09356503513639669	0.08225221137482872	0.02252334225201874	0.019376607373333108	0.02247790067945206	0.026586684369137248
BS-Seq_06-spike	0.011936303955394289	0.016506545808227076	0.013156352663648119	0.02237639214985781	0.021522618280158782	0.01606510580045854	0.017737295254204165	0.033488964072774005	0.03357968731078107	0.11120705534894086	0.08459278339812604	0.018825829469078518	0.0875422174362494	0.10397720805580199	0.085313133773613	0.05953744711490957	0.09239169833671397	0.08226248571430289	0.02083084655402407	0.019421078538369708	0.022551226528165314	0.025177724436200748
BS-Seq_07-no-spike	0.011679465358957827	0.01683268086999484	0.012942162675194463	0.022186712261485764	0.020945167357516763	0.016021270929523875	0.018671102883494495	0.03285205742702156	0.03409117474413026	0.10877878951309693	0.08713038221493377	0.020297430271253254	0.08825321844545875	0.10550287188942335	0.08245456657407897	0.05763805965304653	0.09254156733585044	0.08335555914567402	0.0218667824704101	0.018991648838209425	0.02183526321577514	0.02513206592546962
EM-Seq_01-spike	0.02497743369556741	0.01849492950854683	0.019467036175745914	0.027552680550138712	0.02757747820316858	0.02213527054693066	0.025180623178615306	0.0336745259092536	0.03226376061182005	0.09543264588843135	0.07913647404745847	0.019963449861973813	0.07607060064101318	0.09424007452822003	0.07959882058981836	0.054075283596408875	0.08695998686454481	0.07582634892753344	0.029243102545763063	0.019923491779223566	0.03171984044010062	0.02648614190972346
EM-Seq_02-spike	0.015920376292401207	0.017244232054623044	0.014695720609663496	0.023921840189691096	0.02376289244863369	0.019368981184519563	0.019655084433832567	0.033863324304396016	0.03363302265437506	0.10860314918436888	0.08565533646391892	0.02012405847008023	0.08217284907916778	0.09782413173069916	0.07868078836765144	0.05875897080859487	0.08856065543612399	0.08021991491985989	0.0246863623121186	0.019069248319596253	0.027938202917146725	0.025640857818537584
EM-Seq_03-spike	0.012689855597484668	0.016033303486332095	0.013415592071150643	0.026408554552439054	0.02203986414875657	0.01837091300549642	0.01817609134554295	0.03484730642013786	0.034212656017422856	0.10751476554347004	0.08728311454628974	0.01992126404603421	0.08213587314090763	0.09976115723644025	0.08384872682098608	0.05936148629085567	0.08788057088986267	0.07979775108805966	0.024915430437697443	0.019853828532762262	0.025642955059499473	0.025888939722371804
EM-Seq_04-spike	0.011538287277426038	0.015423777972711168	0.013386599865057608	0.02256426903088341	0.021135502261049932	0.01760989390284254	0.01661236312534713	0.033779904191886354	0.03304129311869837	0.10833177751512639	0.08822449104477337	0.01946500367384494	0.08240667827648983	0.10244735453462923	0.0831353548219425	0.06017216361463922	0.09117830774721337	0.08311374721515895	0.024456295077095874	0.019776759275249998	0.02594731102579228	0.026252865432141375
