chrom	start	end	Tregs-Bcell	Tregs-Myloid	Tregs-NK	Tregs-NaiveCD4	Tregs-NaiveCD8	Tregs-PMNlike	Tregs-cm4	Tregs-cm8	Tregs-ed8	Tregs-em4	Tregs-em8	maxdelta	mindelta	Avgdelta	NaiveCD4	NaiveCD8	nB	NK	PC	Mono	M0	M1	M2	iDC	mDC	PMN	cm8	em8	Eo	Tregs	em4	ed8	Mg	cm4	Er	mB
chr1	687193	687195	0.06607142857142856	-0.3057857142857143	-0.03616666666666657	-0.15383333333333327	-0.2375	-0.2044999999999999	0.07400000000000008	0.031500000000000083	0.4195000000000001	0.10450000000000004	0.24550000000000005	0.4195000000000001	-0.3057857142857143	0.00029870129870135376	0.7903333333333333	0.8740000000000001	0.8445	0.6726666666666666	0.32266666666666666	0.9363333333333334	0.9886666666666668	0.9076666666666666	0.938	0.979	0.899	0.9683333333333334	0.605	0.391	0.873	0.6365000000000001	0.532	0.217	0.7735000000000001	0.5625	0.6855	0.6679999999999999
chr1	687328	687330	-0.059124999999999976	-0.29714285714285704	-0.2560000000000001	-0.34700000000000003	-0.32333333333333336	-0.25322222222222224	-0.204	0.028000000000000025	-0.2879999999999999	-0.113	-0.08650000000000002	0.028000000000000025	-0.34700000000000003	-0.19993849206349204	1.0	0.9763333333333334	0.9583333333333334	0.909	0.4	0.9556666666666668	1.0	0.9046666666666666	1.0	0.9375	0.923	0.9776666666666666	0.625	0.7395	0.9445	0.653	0.7659999999999999	0.941	0.8335	0.857	0.8335	0.8109999999999999
chr1	922981	922983	0.05787500000000024	-0.03093749999999995	-0.020499999999999963	-0.023833333333333262	-0.011166666666666436	-0.02238888888888879	-0.011999999999999787	-0.012499999999999956	-0.010000000000000007	0.02350000000000008	-0.012000000000000007	0.05787500000000024	-0.03093749999999995	-0.006722853535353442	0.9583333333333334	0.9456666666666664	0.943	0.955	0.7733333333333333	0.9876666666666668	0.9663333333333334	0.9646666666666668	0.9693333333333332	0.9705	0.921	0.9646666666666666	0.9470000000000001	0.9465	0.9645	0.9345	0.911	0.9445	0.954	0.9465	0.9405	0.932
chr1	922991	922993	-0.03325000000000011	-0.04431250000000009	-0.03266666666666662	-0.05600000000000005	-0.04500000000000004	-0.04366666666666663	-0.02349999999999996	-0.030500000000000083	-0.026000000000000027	-0.02000000000000013	-0.0015000000000001679	-0.0015000000000001679	-0.05600000000000005	-0.03239962121212126	0.967	0.956	0.9330000000000002	0.9436666666666664	0.9503333333333334	0.9593333333333334	0.9670000000000001	0.9593333333333334	0.9526666666666668	0.9115	0.9735	0.945	0.9415	0.9125	0.958	0.9109999999999999	0.931	0.937	0.973	0.9345	0.9475	0.952
chr1	923025	923027	0.2064285714285714	0.02662500000000001	-0.06966666666666654	-0.125	-0.10099999999999998	0.011444444444444368	0.02349999999999996	-0.01650000000000007	-0.006500000000000061	0.05599999999999994	-0.015000000000000013	0.2064285714285714	-0.125	-0.0008789682539682707	0.852	0.828	0.79	0.7966666666666665	0.248	0.6583333333333333	0.746	0.6796666666666665	0.698	0.7025	0.7275	0.6493333333333333	0.7435	0.742	0.6980000000000001	0.727	0.6709999999999999	0.7335	0.7949999999999999	0.7035	0.753	0.66
chr1	923048	923050	0.09399999999999996	0.029375000000000036	0.031166666666666683	0.032166666666666684	0.027166666666666672	0.040277777777777635	-0.0060000000000000045	-0.02100000000000002	-0.015999999999999903	-0.0060000000000000045	0.0010000000000000009	0.09399999999999996	-0.02100000000000002	0.018741161616161614	0.9103333333333332	0.9153333333333332	0.9303333333333336	0.9113333333333332	0.7010000000000001	0.9	0.917	0.932	0.9323333333333332	0.8674999999999999	0.9155	0.8763333333333335	0.9635	0.9415	0.89	0.9425	0.9485	0.9585	0.943	0.9485	0.9125	0.9470000000000001
chr1	923053	923055	0.19437499999999985	0.056687500000000224	-0.0139999999999999	-0.015666666666666718	0.05033333333333345	0.09711111111111104	0.010500000000000065	0.024000000000000014	-0.05149999999999999	0.01550000000000007	0.008500000000000063	0.19437499999999985	-0.05149999999999999	0.03416729797979801	0.9426666666666668	0.8766666666666666	0.8433333333333334	0.941	0.5246666666666666	0.8896666666666667	0.8303333333333334	0.8773333333333334	0.8616666666666667	0.8314999999999999	0.9425	0.8120000000000002	0.903	0.9185	0.7235	0.927	0.9115	0.9785	0.8959999999999999	0.9165	0.897	0.8785000000000001
chr1	923070	923072	0.1080000000000001	0.100375	-0.012499999999999956	0.04416666666666669	-0.06383333333333341	0.11283333333333324	0.008499999999999952	-0.09150000000000004	-0.131	-0.011500000000000066	-0.05800000000000005	0.11283333333333324	-0.131	0.0005037878787878587	0.7583333333333333	0.8663333333333334	0.7306666666666666	0.815	0.588	0.7356666666666666	0.7106666666666667	0.6286666666666667	0.759	0.6525000000000001	0.7135	0.6576666666666667	0.894	0.8605	0.627	0.8025	0.8140000000000001	0.9335	0.755	0.794	0.7350000000000001	0.8
chr1	923081	923083	0.16737499999999994	0.11187500000000006	0.028000000000000025	0.07533333333333336	0.07033333333333325	0.13788888888888884	0.0774999999999999	0.04249999999999998	0.007999999999999896	0.03599999999999992	0.032499999999999966	0.16737499999999994	0.007999999999999896	0.07157323232323229	0.8526666666666666	0.8576666666666667	0.884	0.8999999999999999	0.5529999999999999	0.8009999999999999	0.8573333333333334	0.7926666666666667	0.8553333333333333	0.7909999999999999	0.7785	0.6993333333333333	0.8855	0.8955	0.8295	0.9279999999999999	0.892	0.92	0.875	0.8505	0.802	0.887
chr1	923166	923168	0.18187500000000006	-0.15024999999999988	-0.2044999999999999	-0.2788333333333334	-0.2908333333333334	-0.054166666666666696	-0.026000000000000027	-0.15249999999999994	-0.0010000000000000009	0.002500000000000057	-0.10949999999999993	0.18187500000000006	-0.2908333333333334	-0.0984734848484848	0.7533333333333334	0.7653333333333334	0.602	0.6789999999999999	0.05466666666666667	0.6493333333333333	0.6773333333333333	0.5616666666666666	0.723	0.5389999999999999	0.542	0.446	0.627	0.584	0.42	0.4745	0.472	0.4755	0.6379999999999999	0.5005000000000001	0.652	0.1855
