NAME	CD14	CD19	CD4	CD8	CD56
chr6:127346546	101.0	1.0	1.0	1.0	1.0
chr19:48966708	75.99999999999999	1.0	1.0	1.0	1.0
chr11:68928064	98.00000000000001	1.0	1.0	1.0	2.5
chr8:29583900	97.2	1.0	1.0	6.6000000000000085	1.0
chr17:64008172	97.2	1.0	1.0	1.0	4.2
chr10:87916144	91.50000000000001	4.300000000000001	1.0	1.0	1.0
chr2:218322709	98.00000000000001	3.0	1.0	1.0	1.0
chr6:13407926	101.0	1.0	1.0	1.0	10.5
chr1:10211666	88.0	1.0	1.0	1.0	3.0
chr3:46209027	93.70000000000002	1.0	1.0	7.6999999999999895	1.0
chr1:113953272	92.69999999999997	1.0	1.0	1.0	6.6000000000000085
chr19:43756385	94.10000000000001	3.9000000000000097	1.0	1.0	1.0
chr15:89166407	101.0	1.0	1.0	1.0	6.6000000000000085
chr7:151808030	101.0	1.0	1.0	1.0	4.600000000000009
chr8:8374015	101.0	4.2	1.0	1.0	1.0
chr19:41380360	93.70000000000002	1.0	1.0	1.0	4.0
chr6:7048118	71.79999999999998	1.0	1.0	1.0	3.60000000000001
chr4:120053189	101.0	1.0	1.0	1.0	7.6999999999999895
chr4:41934835	75.99999999999999	4.2	1.0	1.0	1.0
chr13:49641981	75.99999999999999	1.0	7.250000000000001	1.0	1.0
chr16:68084088	90.50000000000001	3.4000000000000097	8.15	1.0	1.0
chr6:28916822	96.69999999999999	2.7999999999999994	1.0	1.0	2.7
chr13:114069208	101.0	1.0	1.0	1.0	15.3
chr6:7402821	85.19999999999999	5.8000000000000105	1.0	1.0	1.0
chr8:47431498	101.0	2.7999999999999994	1.0	3.2	4.999999999999999
chr7:47520617	101.0	1.0	5.15	1.0	4.8
chr2:218214315	101.0	7.800000000000001	1.0	1.0	1.0
chr7:102991856	97.60000000000001	1.0	1.0	8.39999999999999	4.7
chr10:28587320	95.70000000000002	5.5	1.0	5.300000000000001	1.0
chr10:113094096	91.29999999999997	5.5	1.0	1.0	1.0
chr7:931494	101.0	3.0	4.6499999999999995	1.0	4.2
chr10:88852154	85.60000000000001	4.2	1.0	1.0	1.0
chr18:11978320	96.0	8.899999999999991	2.2000000000000046	1.0	3.0
chr5:146450196	95.4	1.0	4.549999999999995	1.0	8.09999999999999
chr3:97958212	79.59999999999998	3.4000000000000097	1.0	1.0	1.0
chr20:18510840	98.10000000000001	3.60000000000001	1.0	3.2	3.3
chr1:23023561	87.69999999999999	1.0	1.0	5.200000000000001	1.0
chr7:101892541	97.80000000000001	2.40000000000001	1.0	1.0	4.100000000000009
chr3:107987398	101.0	1.0	3.8000000000000043	1.0	4.7
chr11:17822308	80.30000000000001	3.7	1.0	1.0	3.9000000000000097
chr2:158459752	82.50000000000001	4.7	1.0	1.0	1.0
chr1:19081403	101.0	6.30000000000001	3.9000000000000092	1.0	1.0
chr17:28982095	60.40000000000001	1.0	1.0	1.0	6.900000000000009
chr1:54850808	62.5	1.0	1.0	1.0	1.0
chr1:235919908	80.99999999999997	2.7999999999999994	2.6500000000000004	1.0	1.0
