chrom	start	end	Tregs-Bcell	Tregs-Myloid	Tregs-NK	Tregs-NaiveCD4	Tregs-NaiveCD8	Tregs-PMNlike	Tregs-cm4	Tregs-cm8	Tregs-ed8	Tregs-em4	Tregs-em8	maxdelta	mindelta	Avgdelta
chr1	687193	687195	0.06607142857142856	-0.3057857142857143	-0.03616666666666657	-0.15383333333333327	-0.23749999999999996	-0.2044999999999999	0.07400000000000008	0.031500000000000083	0.4195000000000001	0.10450000000000004	0.24550000000000005	0.4195000000000001	-0.3057857142857143	0.00029870129870135376
chr1	687328	687330	-0.059124999999999976	-0.29714285714285704	-0.2560000000000001	-0.34700000000000003	-0.32333333333333336	-0.25322222222222224	-0.204	0.028000000000000025	-0.2879999999999999	-0.113	-0.08650000000000002	0.028000000000000025	-0.34700000000000003	-0.19993849206349204
chr1	922981	922983	0.057875000000000225	-0.03093749999999995	-0.020499999999999963	-0.023833333333333262	-0.011166666666666436	-0.02238888888888879	-0.011999999999999787	-0.012499999999999956	-0.010000000000000007	0.02350000000000008	-0.012000000000000009	0.057875000000000225	-0.03093749999999995	-0.006722853535353442
chr1	922991	922993	-0.03325000000000011	-0.04431250000000009	-0.03266666666666662	-0.05600000000000005	-0.04500000000000004	-0.04366666666666663	-0.023499999999999962	-0.030500000000000083	-0.026000000000000027	-0.020000000000000132	-0.0015000000000001679	-0.0015000000000001679	-0.05600000000000005	-0.03239962121212126
chr1	923025	923027	0.2064285714285714	0.02662500000000001	-0.06966666666666654	-0.125	-0.10099999999999998	0.011444444444444368	0.023499999999999962	-0.01650000000000007	-0.006500000000000061	0.05599999999999994	-0.015000000000000013	0.2064285714285714	-0.125	-0.0008789682539682708
chr1	923048	923050	0.09399999999999996	0.029375000000000036	0.031166666666666683	0.032166666666666684	0.027166666666666672	0.040277777777777635	-0.0060000000000000045	-0.02100000000000002	-0.015999999999999903	-0.0060000000000000045	0.0010000000000000009	0.09399999999999996	-0.02100000000000002	0.018741161616161614
chr1	923053	923055	0.19437499999999985	0.056687500000000224	-0.0139999999999999	-0.015666666666666718	0.05033333333333345	0.09711111111111104	0.010500000000000065	0.024000000000000018	-0.05149999999999999	0.01550000000000007	0.008500000000000063	0.19437499999999985	-0.05149999999999999	0.03416729797979801
chr1	923070	923072	0.1080000000000001	0.100375	-0.012499999999999956	0.04416666666666669	-0.06383333333333341	0.11283333333333324	0.008499999999999952	-0.09150000000000004	-0.131	-0.011500000000000066	-0.05800000000000005	0.11283333333333324	-0.131	0.0005037878787878587
chr1	923081	923083	0.16737499999999994	0.11187500000000006	0.028000000000000025	0.07533333333333336	0.07033333333333325	0.13788888888888884	0.0774999999999999	0.04249999999999998	0.007999999999999896	0.03599999999999992	0.032499999999999966	0.16737499999999994	0.007999999999999896	0.07157323232323229
chr1	923166	923168	0.18187500000000006	-0.15024999999999988	-0.2044999999999999	-0.2788333333333334	-0.2908333333333334	-0.054166666666666696	-0.026000000000000027	-0.15249999999999994	-0.0010000000000000009	0.0025000000000000573	-0.10949999999999993	0.18187500000000006	-0.2908333333333334	-0.09847348484848481
chr1	923177	923179	0.137125	0.04062500000000002	-0.06633333333333324	-0.09533333333333338	-0.17166666666666675	0.06277777777777782	0.07350000000000001	-0.042999999999999934	0.09250000000000004	0.09050000000000002	-0.03299999999999992	0.137125	-0.17166666666666675	0.007972222222222243
chr1	923217	923219	0.08462499999999996	0.08749999999999998	0.008166666666666655	-0.025833333333333347	-0.06950000000000002	0.04794444444444443	0.04649999999999997	-0.02100000000000002	0.08749999999999998	0.08099999999999997	0.01699999999999996	0.08749999999999998	-0.06950000000000002	0.03126388888888886
chr1	923234	923236	0.23512500000000006	0.17525000000000007	0.020500000000000074	-0.17716666666666658	-0.0784999999999999	0.0910555555555556	0.05100000000000005	-0.09099999999999996	0.1885000000000001	0.01100000000000012	0.08500000000000008	0.23512500000000006	-0.17716666666666658	0.04643308080808088
chr1	923333	923335	-0.073625	-0.03876666666666668	-0.008833333333333332	0.0038333333333333344	-0.02316666666666667	-0.04327777777777777	-0.016499999999999994	-0.028	-0.0059999999999999975	-0.044999999999999984	0.0125	0.0125	-0.073625	-0.024257828282828284
chr1	923409	923411	0.024375	0.0323125	0.04	0.029	0.04	0.023222222222222224	0.0305	-0.003000000000000003	-0.0049999999999999975	0.012000000000000005	0.018500000000000003	0.04	-0.0049999999999999975	0.02199179292929293
chr1	923485	923487	0.00875	-6.250000000000006e-05	0.0165	0.0165	0.004499999999999999	0.00038888888888889	0.0165	0.0165	0.0165	-0.006499999999999999	0.0165	0.0165	-0.006499999999999999	0.00964330808080808
chr1	923493	923495	-0.025625	-0.033875	-0.03166666666666667	-0.037333333333333336	-0.10233333333333333	-0.034	-0.029500000000000005	-0.014	-0.0105	-0.0455	-0.024	-0.0105	-0.10233333333333333	-0.03530303030303031
chr1	923694	923696	-0.002857142857142857	0.0023124999999999986	0.015	-0.003000000000000003	0.015	0.015	-0.008	0.015	-0.013500000000000002	-0.007000000000000003	-0.0085	0.015	-0.013500000000000002	0.00176866883116883
chr1	923705	923707	-0.01425	0.003312499999999999	0.006999999999999999	0.006999999999999999	-0.011333333333333334	0.006999999999999999	-0.019	-0.012000000000000005	-0.045000000000000005	-0.020000000000000004	-0.0145	0.006999999999999999	-0.045000000000000005	-0.01016098484848485
chr1	923737	923739	-0.01825	0.009124999999999998	0.014	0.014	0.004333333333333333	0.014	0.014	0.014	0.007999999999999998	0.007999999999999998	0.0009999999999999974	0.014	-0.01825	0.0074734848484848465
chr1	923741	923743	-0.06050000000000001	-0.003312500000000001	0.006999999999999999	0.0029999999999999988	0.0019999999999999987	0.002111111111111109	-0.014500000000000002	0.0009999999999999992	-0.014	-0.034	-0.025	0.006999999999999999	-0.06050000000000001	-0.012381944444444447
chr1	923760	923762	-0.0023750000000000004	0.006999999999999999	0.006999999999999999	0.006999999999999999	0.0016666666666666661	0.0041111111111111105	-0.0085	0.006999999999999999	-0.013500000000000002	-0.0005000000000000004	0.0009999999999999992	0.006999999999999999	-0.013500000000000002	0.0009002525252525245
chr1	923856	923858	0.01	0.00525	0.01	0.01	0.01	0.01	0.01	0.01	0.0035	0.01	0.01	0.01	0.0035	0.008977272727272726
chr1	923858	923860	0.006999999999999999	0.0040625	0.0095	0.0095	0.0095	0.008277777777777778	0.0095	0.0095	0.0095	0.0095	0.0095	0.0095	0.0040625	0.008667297979797978
chr1	923987	923989	0.008	0.0014999999999999994	0.002666666666666667	0.008	0.008	0.008	0.008	0.008	0.008	0.008	0.0005000000000000004	0.008	0.0005000000000000004	0.006242424242424243
chr1	923998	924000	0.00925	0.0091875	0.006333333333333333	0.012	0.012	0.007888888888888891	0.012	0.012	0.012	0.0055	0.012	0.012	0.0055	0.010014520202020202
