NAME	CD14	CD19	CD4	CD8	CD56
chr6:13761191	101.0	5.8333333333333295	2.7499999999999996	3.93333333333334	2.66666666666666
chr17:77100327	89.93333333333331	4.233333333333331	2.633333333333334	2.86666666666667	4.733333333333331
chr16:12344913	79.4	1.733333333333348	3.849999999999995	4.93333333333334	4.16666666666667
chr8:27391187	99.89999999999998	4.7	1.933333333333335	3.13333333333333	4.3333333333333295
chr10:127918798	101.0	6.033333333333351	2.95000000000001	3.19999999999999	6.166666666666661
chr2:28717532	100.03333333333327	4.3999999999999915	2.93333333333333	3.0	4.966666666666671
chr6:16728327	101.0	4.6666666666666705	2.583333333333335	3.36666666666666	6.56666666666666
chr17:2803604	98.50000000000001	3.3333333333333406	4.983333333333335	2.3	4.900000000000008
chr8:141137888	91.8	4.6666666666666705	3.0	5.700000000000001	3.666666666666669
chr7:6434288	88.9666666666667	2.06666666666668	4.75	5.73333333333335	2.09999999999999
chr19:14127431	100.57499999999999	3.2750000000000097	4.312500000000008	5.724999999999991	4.900000000000008
chr2:47058769	90.83333333333327	3.5	5.85000000000001	1.833333333333329	5.03333333333335
chr8:673597	101.0	3.866666666666661	5.383333333333329	4.40000000000002	5.31666666666666
chr1:246582614	89.1333333333333	3.0666666666666798	3.9666666666666694	5.10000000000001	5.9666666666666694
chr3:196625294	101.0	2.33333333333333	4.06666666666667	6.06666666666668	7.266666666666651
chr8:30113222	67.10000000000001	2.925	2.0750000000000037	4.100000000000009	3.55
chr1:33338967	100.26666666666667	2.8333333333333397	3.8833333333333395	4.033333333333349	6.199999999999999
chr9:134371875	101.0	3.95	4.149999999999995	3.875	4.8
chr11:94545744	92.9	6.06666666666668	2.03333333333334	5.900000000000009	3.13333333333333
chr13:50715520	101.0	1.533333333333331	5.81666666666667	6.700000000000001	5.63333333333334
chr16:3591051	101.0	4.733333333333331	3.3666666666666654	6.166666666666669	5.300000000000001
chr1:21317537	92.14000000000001	2.6399999999999997	5.24	3.5	4.340000000000001
chr3:171825698	90.0666666666667	4.266666666666668	2.6500000000000004	3.46666666666667	7.16666666666667
chr2:206098979	73.9666666666667	2.76666666666667	2.5500000000000047	5.766666666666669	3.76666666666668
chr5:142803621	98.8	3.5	3.9000000000000057	3.81999999999999	4.62
chr19:47664412	100.69999999999999	4.375	3.35000000000001	5.02500000000001	8.65000000000001
chr17:42226001	89.4	4.033333333333349	3.78333333333333	6.033333333333319	3.2333333333333503
chr9:77849184	101.0	6.133333333333339	3.000000000000005	5.366666666666671	10.299999999999999
chr12:122401002	73.06666666666673	3.7	2.583333333333335	3.9999999999999907	4.999999999999999
chr1:235835471	100.2333333333333	4.100000000000009	2.5333333333333337	3.0666666666666798	10.500000000000009
chr9:113188524	101.0	5.866666666666659	3.733333333333325	4.600000000000009	5.866666666666659
chr10:29630715	85.96000000000001	2.68000000000002	5.270000000000001	5.22	2.7399999999999896
chr1:8892395	98.29999999999998	6.6000000000000085	4.33333333333333	2.2	7.699999999999999
chr8:26611852	98.28	5.179999999999992	4.57	3.6999999999999904	6.61999999999999
chr19:18301290	97.00000000000001	5.366666666666671	6.566666666666661	3.4000000000000097	6.9666666666666694
chr16:84083087	99.96666666666673	3.53333333333333	3.03333333333334	7.8000000000000105	7.0333333333333306
chr19:40364149	97.86666666666669	3.46666666666667	3.916666666666665	4.999999999999999	7.699999999999999
chr12:64700027	101.0	4.566666666666681	10.716666666666653	2.43333333333334	10.59999999999999
chr17:58493698	86.23333333333329	2.93333333333334	8.43333333333334	4.300000000000001	4.0666666666666815
chr21:44849824	94.46000000000001	4.0	5.21999999999999	6.139999999999991	5.8199999999999905
chr15:63502704	99.525	4.17500000000001	4.0375000000000005	7.125	6.0
chr20:19974936	85.83333333333331	2.76666666666667	3.416666666666674	5.66666666666667	4.2
chr16:27415071	99.99999999999997	7.199999999999991	6.549999999999999	9.500000000000002	3.2666666666666697
chr15:99455298	81.03333333333329	3.8333333333333304	4.566666666666665	4.866666666666671	5.63333333333334
chr9:127131524	99.89999999999998	5.5	4.7166666666666694	3.7	6.83333333333333
chr4:3085127	92.23333333333329	5.33333333333333	2.65	5.400000000000009	4.966666666666671
chr11:67302298	65.12500000000001	5.600000000000009	5.600000000000005	3.3749999999999996	2.40000000000001
chr22:37682695	81.73333333333332	5.700000000000001	3.7666666666666755	5.8333333333333295	4.93333333333334
