Mixture	CD4_real	CD8_real	Neu_real	CD14_real	CD19_real	CD56_real
insilmix_NR_400000_cd4naive_s_30_cd8naive_s_29_mNeu_s_9_mono_s_10_nB_s_5_NK_s_17_bg	30	29	9	10	5	17
insilmix_NR_400000_cd4naive_s_8_cd8naive_s_35_mNeu_s_9_mono_s_20_nB_s_1_NK_s_27_bg	8	35	9	20	1	27
insilmix_NR_400000_cd4naive_s_7_cd8naive_s_3_mNeu_s_39_mono_s_17_nB_s_19_NK_s_15_bg	7	3	39	17	19	15
insilmix_NR_400000_cd4naive_s_12_cd8naive_s_24_mNeu_s_9_mono_s_20_nB_s_9_NK_s_26_bg	12	24	9	20	9	26
insilmix_NR_400000_cd4naive_s_30_cd8naive_s_14_mNeu_s_18_mono_s_27_nB_s_11_NK_s_0_bg	30	14	18	27	11	0
insilmix_NR_400000_cd4naive_s_4_cd8naive_s_22_mNeu_s_2_mono_s_5_nB_s_33_NK_s_34_bg	4	22	2	5	33	34
insilmix_NR_400000_cd4naive_s_11_cd8naive_s_1_mNeu_s_30_mono_s_31_nB_s_24_NK_s_3_bg	11	1	30	31	24	3
insilmix_NR_400000_cd4naive_s_29_cd8naive_s_18_mNeu_s_12_mono_s_23_nB_s_7_NK_s_11_bg	29	18	12	23	7	11
insilmix_NR_400000_cd4naive_s_0_cd8naive_s_21_mNeu_s_54_mono_s_10_nB_s_10_NK_s_5_bg	0	21	54	10	10	5
insilmix_NR_400000_cd4naive_s_7_cd8naive_s_20_mNeu_s_18_mono_s_16_nB_s_29_NK_s_10_bg	7	20	18	16	29	10
insilmix_NR_400000_cd4naive_s_20_cd8naive_s_26_mNeu_s_16_mono_s_7_nB_s_11_NK_s_20_bg	20	26	16	7	11	20
insilmix_NR_400000_cd4naive_s_1_cd8naive_s_1_mNeu_s_41_mono_s_26_nB_s_31_NK_s_0_bg	1	1	41	26	31	0
insilmix_NR_400000_cd4naive_s_25_cd8naive_s_25_mNeu_s_10_mono_s_12_nB_s_22_NK_s_6_bg	25	25	10	12	22	6
insilmix_NR_400000_cd4naive_s_23_cd8naive_s_4_mNeu_s_2_mono_s_26_nB_s_24_NK_s_21_bg	23	4	2	26	24	21
insilmix_NR_400000_cd4naive_s_14_cd8naive_s_15_mNeu_s_27_mono_s_5_nB_s_26_NK_s_13_bg	14	15	27	5	26	13
insilmix_NR_400000_cd4naive_s_16_cd8naive_s_17_mNeu_s_5_mono_s_23_nB_s_27_NK_s_12_bg	16	17	5	23	27	12
insilmix_NR_400000_cd4naive_s_9_cd8naive_s_36_mNeu_s_1_mono_s_27_nB_s_7_NK_s_20_bg	9	36	1	27	7	20
insilmix_NR_400000_cd4naive_s_28_cd8naive_s_2_mNeu_s_11_mono_s_25_nB_s_27_NK_s_7_bg	28	2	11	25	27	7
insilmix_NR_400000_cd4naive_s_15_cd8naive_s_26_mNeu_s_21_mono_s_11_nB_s_17_NK_s_10_bg	15	26	21	11	17	10
insilmix_NR_400000_cd4naive_s_14_cd8naive_s_14_mNeu_s_26_mono_s_22_nB_s_19_NK_s_5_bg	14	14	26	22	19	5
insilmix_NR_400000_cd4naive_s_7_cd8naive_s_22_mNeu_s_20_mono_s_4_nB_s_23_NK_s_24_bg	7	22	20	4	23	24
insilmix_NR_400000_cd4naive_s_37_cd8naive_s_9_mNeu_s_18_mono_s_9_nB_s_11_NK_s_16_bg	37	9	18	9	11	16
insilmix_NR_400000_cd4naive_s_26_cd8naive_s_17_mNeu_s_11_mono_s_16_nB_s_9_NK_s_21_bg	26	17	11	16	9	21
insilmix_NR_400000_cd4naive_s_18_cd8naive_s_8_mNeu_s_25_mono_s_11_nB_s_24_NK_s_14_bg	18	8	25	11	24	14
insilmix_NR_400000_cd4naive_s_10_cd8naive_s_18_mNeu_s_2_mono_s_31_nB_s_0_NK_s_39_bg	10	18	2	31	0	39
