Mixture	CD4_real	CD8_real	CD14_real	CD19_real	CD56_real	Neu_real
insilmix_NR_400000_cd4naive_s_1_cd8naive_s_1_mNeu_s_41_mono_s_26_nB_s_31_NK_s_0_bg	1	1	26	31	0	41
insilmix_NR_400000_cd4naive_s_29_cd8naive_s_18_mNeu_s_12_mono_s_23_nB_s_7_NK_s_11_bg	29	18	23	7	11	12
insilmix_NR_400000_cd4naive_s_20_cd8naive_s_26_mNeu_s_16_mono_s_7_nB_s_11_NK_s_20_bg	20	26	7	11	20	16
insilmix_NR_400000_cd4naive_s_12_cd8naive_s_24_mNeu_s_9_mono_s_20_nB_s_9_NK_s_26_bg	12	24	20	9	26	9
insilmix_NR_400000_cd4naive_s_0_cd8naive_s_21_mNeu_s_54_mono_s_10_nB_s_10_NK_s_5_bg	0	21	10	10	5	54
insilmix_NR_400000_cd4naive_s_7_cd8naive_s_20_mNeu_s_18_mono_s_16_nB_s_29_NK_s_10_bg	7	20	16	29	10	18
insilmix_NR_400000_cd4naive_s_9_cd8naive_s_36_mNeu_s_1_mono_s_27_nB_s_7_NK_s_20_bg	9	36	27	7	20	1
insilmix_NR_400000_cd4naive_s_11_cd8naive_s_1_mNeu_s_30_mono_s_31_nB_s_24_NK_s_3_bg	11	1	31	24	3	30
insilmix_NR_400000_cd4naive_s_8_cd8naive_s_35_mNeu_s_9_mono_s_20_nB_s_1_NK_s_27_bg	8	35	20	1	27	9
insilmix_NR_400000_cd4naive_s_14_cd8naive_s_15_mNeu_s_27_mono_s_5_nB_s_26_NK_s_13_bg	14	15	5	26	13	27
insilmix_NR_400000_cd4naive_s_26_cd8naive_s_17_mNeu_s_11_mono_s_16_nB_s_9_NK_s_21_bg	26	17	16	9	21	11
insilmix_NR_400000_cd4naive_s_15_cd8naive_s_26_mNeu_s_21_mono_s_11_nB_s_17_NK_s_10_bg	15	26	11	17	10	21
insilmix_NR_400000_cd4naive_s_18_cd8naive_s_8_mNeu_s_25_mono_s_11_nB_s_24_NK_s_14_bg	18	8	11	24	14	25
insilmix_NR_400000_cd4naive_s_25_cd8naive_s_25_mNeu_s_10_mono_s_12_nB_s_22_NK_s_6_bg	25	25	12	22	6	10
insilmix_NR_400000_cd4naive_s_10_cd8naive_s_18_mNeu_s_2_mono_s_31_nB_s_0_NK_s_39_bg	10	18	31	0	39	2
insilmix_NR_400000_cd4naive_s_7_cd8naive_s_3_mNeu_s_39_mono_s_17_nB_s_19_NK_s_15_bg	7	3	17	19	15	39
insilmix_NR_400000_cd4naive_s_16_cd8naive_s_17_mNeu_s_5_mono_s_23_nB_s_27_NK_s_12_bg	16	17	23	27	12	5
insilmix_NR_400000_cd4naive_s_30_cd8naive_s_29_mNeu_s_9_mono_s_10_nB_s_5_NK_s_17_bg	30	29	10	5	17	9
insilmix_NR_400000_cd4naive_s_7_cd8naive_s_22_mNeu_s_20_mono_s_4_nB_s_23_NK_s_24_bg	7	22	4	23	24	20
insilmix_NR_400000_cd4naive_s_28_cd8naive_s_2_mNeu_s_11_mono_s_25_nB_s_27_NK_s_7_bg	28	2	25	27	7	11
insilmix_NR_400000_cd4naive_s_4_cd8naive_s_22_mNeu_s_2_mono_s_5_nB_s_33_NK_s_34_bg	4	22	5	33	34	2
insilmix_NR_400000_cd4naive_s_23_cd8naive_s_4_mNeu_s_2_mono_s_26_nB_s_24_NK_s_21_bg	23	4	26	24	21	2
insilmix_NR_400000_cd4naive_s_30_cd8naive_s_14_mNeu_s_18_mono_s_27_nB_s_11_NK_s_0_bg	30	14	27	11	0	18
insilmix_NR_400000_cd4naive_s_37_cd8naive_s_9_mNeu_s_18_mono_s_9_nB_s_11_NK_s_16_bg	37	9	9	11	16	18
insilmix_NR_400000_cd4naive_s_14_cd8naive_s_14_mNeu_s_26_mono_s_22_nB_s_19_NK_s_5_bg	14	14	22	19	5	26
