chrom	start	end	Mono-B_cell	Mono-CD4	Mono-NK	Mono-CD8	maxdelta	mindelta	Avgdelta
chr1	64562	64564	0.03933333333333311	0.28600000000000003	-0.06366666666666676	0.619	0.619	-0.06366666666666676	0.2201666666666666
chr1	64763	64765	0.2556666666666668	0.3493333333333334	0.1073333333333334	0.27866666666666673	0.3493333333333334	0.1073333333333334	0.24775000000000008
chr1	922981	922983	-0.022333333333333427	0.044333333333333336	-0.022333333333333427	0.07333333333333325	0.07333333333333325	-0.022333333333333427	0.018249999999999933
chr1	922991	922993	0.03266666666666662	0.06666666666666676	0.1266666666666666	0.13	0.13	0.03266666666666662	0.089
chr1	923025	923027	-0.14033333333333342	-0.0986666666666668	0.2236666666666665	-0.10400000000000008	0.2236666666666665	-0.14033333333333342	-0.029833333333333444
chr1	923048	923050	0.044333333333333336	0.05766666666666676	-0.025666666666666612	0.00766666666666671	0.05766666666666676	-0.025666666666666612	0.021000000000000046
chr1	923053	923055	0.009333333333333305	-0.09266666666666667	-0.009333333333333305	-0.04066666666666674	0.009333333333333305	-0.09266666666666667	-0.033333333333333354
chr1	923070	923072	0.08200000000000007	-0.11133333333333327	0.07400000000000008	0.028000000000000025	0.08200000000000007	-0.11133333333333327	0.018166666666666727
chr1	923081	923083	-0.1016666666666669	-0.17500000000000016	-0.11733333333333353	-0.08266666666666678	-0.08266666666666678	-0.17500000000000016	-0.11916666666666684
chr1	923166	923168	0.03733333333333344	-0.06766666666666665	-0.17499999999999993	0.14966666666666667	0.14966666666666667	-0.17499999999999993	-0.013916666666666619
chr1	923177	923179	-0.07000000000000017	-0.15833333333333355	0.17533333333333326	-0.010666666666666824	0.17533333333333326	-0.15833333333333355	-0.015916666666666822
chr1	923217	923219	0.13133333333333333	-0.14800000000000002	0.0866666666666667	0.0060000000000000045	0.13133333333333333	-0.14800000000000002	0.019000000000000003
chr1	923234	923236	-0.08366666666666672	-0.014000000000000012	-0.046666666666666634	-0.20466666666666672	-0.014000000000000012	-0.20466666666666672	-0.08725000000000002
chr1	923260	923262	0.040666666666666657	0.17666666666666667	0.060333333333333336	0.13733333333333336	0.17666666666666667	0.040666666666666657	0.10375000000000001
chr1	923331	923333	-0.027666666666666617	0.2886666666666667	0.17333333333333334	0.025000000000000026	0.2886666666666667	-0.027666666666666617	0.11483333333333336
chr1	923333	923335	-0.09166666666666663	0.01916666666666669	-0.010999999999999996	-0.2846666666666666	0.01916666666666669	-0.2846666666666666	-0.09204166666666663
chr1	923409	923411	0.10333333333333336	0.21433333333333332	0.11966666666666667	-0.03566666666666665	0.21433333333333332	-0.03566666666666665	0.10041666666666668
chr1	923439	923441	-0.0010000000000000286	0.142	0.087	-0.22233333333333336	0.142	-0.22233333333333336	0.0014166666666666494
chr1	923446	923448	0.15	-0.05833333333333335	0.06366666666666665	-0.0703333333333333	0.15	-0.0703333333333333	0.021249999999999998
chr1	923450	923452	0.09633333333333337	0.138	0.08733333333333335	-0.2403333333333334	0.138	-0.2403333333333334	0.020333333333333342
chr1	923485	923487	0.20333333333333334	0.1875	-0.02399999999999997	0.06033333333333335	0.20333333333333334	-0.02399999999999997	0.10679166666666669
chr1	923493	923495	-0.2526666666666667	0.0835	-0.09733333333333337	-0.12733333333333333	0.0835	-0.2526666666666667	-0.09845833333333334
chr1	923560	923562	-0.036999999999999984	-0.04	-0.2266666666666667	-0.16466666666666668	-0.036999999999999984	-0.2266666666666667	-0.11708333333333334
chr1	923590	923592	-0.03466666666666665	0.058666666666666686	-0.05566666666666667	0.04566666666666668	0.058666666666666686	-0.05566666666666667	0.0035000000000000118
chr1	923598	923600	-0.2986666666666667	-0.2716666666666667	-0.12300000000000005	-0.06133333333333334	-0.06133333333333334	-0.2986666666666667	-0.18866666666666668
chr1	923608	923610	-0.09966666666666664	-0.019333333333333317	-0.0010000000000000009	-0.128	-0.0010000000000000009	-0.128	-0.061999999999999986
chr1	923624	923626	-0.11933333333333335	-0.10133333333333333	-0.059333333333333314	-0.06466666666666666	-0.059333333333333314	-0.11933333333333335	-0.08616666666666666
chr1	923629	923631	-0.07666666666666666	-0.20033333333333334	0.014666666666666675	-0.15066666666666664	0.014666666666666675	-0.20033333333333334	-0.10325000000000001
chr1	923645	923647	0.00933333333333336	0.046666666666666745	0.11400000000000003	0.012666666666666715	0.11400000000000003	0.00933333333333336	0.045666666666666716
chr1	923648	923650	0.021333333333333367	-0.004999999999999949	0.08466666666666668	0.07133333333333336	0.08466666666666668	-0.004999999999999949	0.04308333333333336
chr1	923651	923653	-0.11733333333333335	0.09099999999999997	0.043333333333333314	-0.12499999999999994	0.09099999999999997	-0.12499999999999994	-0.027000000000000003
chr1	923655	923657	-0.15566666666666662	0.11733333333333333	-0.043	-0.05800000000000001	0.11733333333333333	-0.15566666666666662	-0.03483333333333333
chr1	923666	923668	-0.13533333333333336	0.25966666666666666	0.064	-0.15666666666666662	0.25966666666666666	-0.15666666666666662	0.007916666666666669
chr1	923669	923671	0.02233333333333332	0.2923333333333333	0.159	0.09033333333333336	0.2923333333333333	0.02233333333333332	0.141
chr1	923694	923696	-0.10866666666666666	-0.09466666666666664	-0.013999999999999985	-0.0333333333333333	-0.013999999999999985	-0.10866666666666666	-0.06266666666666665
chr1	923705	923707	-0.08799999999999994	-0.07299999999999998	0.11100000000000003	-0.20033333333333334	0.11100000000000003	-0.20033333333333334	-0.06258333333333331
chr1	923710	923712	0.030333333333333268	0.13899999999999996	0.13066666666666665	0.10599999999999997	0.13899999999999996	0.030333333333333268	0.10149999999999997
chr1	923712	923714	-0.0003333333333332966	0.013666666666666688	0.0006666666666667043	-0.19866666666666666	0.013666666666666688	-0.19866666666666666	-0.04616666666666664
chr1	923737	923739	0.02200000000000001	0.05833333333333336	0.06900000000000002	-0.10266666666666664	0.06900000000000002	-0.10266666666666664	0.011666666666666683
chr1	923739	923741	-0.1036666666666667	-0.022999999999999996	0.029666666666666675	-0.07599999999999997	0.029666666666666675	-0.1036666666666667	-0.04325
chr1	923741	923743	0.12766666666666665	0.115	0.05366666666666664	-0.0016666666666666494	0.12766666666666665	-0.0016666666666666494	0.07366666666666666
