chrom	start	end	CD4-CD8	CD4-Mono	CD4-NK	CD4-B_cell	maxdelta	mindelta	Avgdelta
chr1	64562	64564	0.333	-0.28600000000000003	-0.34966666666666674	-0.2466666666666669	0.333	-0.34966666666666674	-0.13733333333333342
chr1	64763	64765	-0.07066666666666667	-0.3493333333333334	-0.242	-0.09366666666666656	-0.07066666666666667	-0.3493333333333334	-0.18891666666666665
chr1	67182	67184	-0.09533333333333338	-0.09533333333333338	-0.09533333333333338	0.004666666666666597	0.004666666666666597	-0.09533333333333338	-0.07033333333333339
chr1	67222	67224	0.21900000000000008	-0.1309999999999999	-0.1309999999999999	-0.1309999999999999	0.21900000000000008	-0.1309999999999999	-0.0434999999999999
chr1	922981	922983	0.028999999999999918	-0.044333333333333336	-0.06666666666666676	-0.06666666666666676	0.028999999999999918	-0.06666666666666676	-0.03716666666666674
chr1	922991	922993	0.06333333333333324	-0.06666666666666676	0.059999999999999824	-0.034000000000000134	0.06333333333333324	-0.06666666666666676	0.005666666666666542
chr1	923025	923027	-0.005333333333333301	0.0986666666666668	0.3223333333333333	-0.04166666666666663	0.3223333333333333	-0.04166666666666663	0.09350000000000004
chr1	923048	923050	-0.05000000000000005	-0.05766666666666676	-0.08333333333333337	-0.013333333333333421	-0.013333333333333421	-0.08333333333333337	-0.0510833333333334
chr1	923053	923055	0.051999999999999935	0.09266666666666667	0.08333333333333337	0.10199999999999998	0.10199999999999998	0.051999999999999935	0.08249999999999999
chr1	923070	923072	0.1393333333333333	0.11133333333333327	0.18533333333333332	0.19333333333333336	0.19333333333333336	0.11133333333333327	0.15733333333333333
chr1	923081	923083	0.09233333333333338	0.17500000000000016	0.05766666666666664	0.07333333333333325	0.17500000000000016	0.05766666666666664	0.09958333333333336
chr1	923166	923168	0.21733333333333327	0.06766666666666665	-0.10733333333333328	0.1050000000000001	0.21733333333333327	-0.10733333333333328	0.07066666666666668
chr1	923177	923179	0.14766666666666672	0.15833333333333355	0.3336666666666668	0.08833333333333337	0.3336666666666668	0.08833333333333337	0.1820000000000001
chr1	923217	923219	0.15400000000000005	0.14800000000000002	0.2346666666666667	0.2793333333333333	0.2793333333333333	0.14800000000000002	0.20400000000000001
chr1	923234	923236	-0.1906666666666667	0.014000000000000012	-0.03266666666666662	-0.06966666666666671	0.014000000000000012	-0.1906666666666667	-0.06975
chr1	923260	923262	-0.03933333333333334	-0.17666666666666667	-0.11633333333333333	-0.136	-0.03933333333333334	-0.17666666666666667	-0.11708333333333333
chr1	923331	923333	-0.26366666666666666	-0.2886666666666667	-0.11533333333333334	-0.3163333333333333	-0.11533333333333334	-0.3163333333333333	-0.246
chr1	923333	923335	-0.3038333333333333	-0.01916666666666669	-0.03016666666666669	-0.11083333333333334	-0.01916666666666669	-0.3038333333333333	-0.11599999999999999
chr1	923409	923411	-0.25	-0.21433333333333332	-0.09466666666666666	-0.111	-0.09466666666666666	-0.25	-0.16749999999999998
chr1	923439	923441	-0.3643333333333333	-0.142	-0.055	-0.14300000000000002	-0.055	-0.3643333333333333	-0.17608333333333334
chr1	923446	923448	-0.011999999999999957	0.05833333333333335	0.122	0.20833333333333331	0.20833333333333331	-0.011999999999999957	0.09416666666666668
chr1	923450	923452	-0.3783333333333334	-0.138	-0.050666666666666665	-0.04166666666666666	-0.04166666666666666	-0.3783333333333334	-0.15216666666666667
chr1	923485	923487	-0.12716666666666665	-0.1875	-0.2115	0.015833333333333338	0.015833333333333338	-0.2115	-0.12758333333333333
chr1	923493	923495	-0.21083333333333326	-0.0835	-0.18083333333333332	-0.3361666666666667	-0.0835	-0.3361666666666667	-0.20283333333333334
chr1	923560	923562	-0.12466666666666668	0.04	-0.18666666666666668	0.003000000000000003	0.04	-0.18666666666666668	-0.06708333333333333
chr1	923590	923592	-0.013000000000000013	-0.058666666666666686	-0.11433333333333336	-0.09333333333333334	-0.013000000000000013	-0.11433333333333336	-0.06983333333333334
chr1	923598	923600	0.21033333333333334	0.2716666666666667	0.14866666666666667	-0.02699999999999997	0.2716666666666667	-0.02699999999999997	0.1509166666666667
chr1	923608	923610	-0.10866666666666668	0.019333333333333317	0.018333333333333316	-0.08033333333333334	0.019333333333333317	-0.10866666666666668	-0.037833333333333344
chr1	923624	923626	0.03666666666666668	0.10133333333333333	0.04200000000000004	-0.018000000000000016	0.10133333333333333	-0.018000000000000016	0.04050000000000001
chr1	923629	923631	0.049666666666666685	0.20033333333333334	0.215	0.12366666666666667	0.215	0.049666666666666685	0.14716666666666667
chr1	923645	923647	-0.03400000000000003	-0.046666666666666745	0.06733333333333327	-0.03733333333333338	0.06733333333333327	-0.046666666666666745	-0.01266666666666672
chr1	923648	923650	0.07633333333333331	0.004999999999999949	0.08966666666666663	0.02633333333333332	0.08966666666666663	0.004999999999999949	0.0493333333333333
chr1	923651	923653	-0.216	-0.09099999999999997	-0.047666666666666684	-0.20833333333333334	-0.047666666666666684	-0.216	-0.14075
chr1	923655	923657	-0.17533333333333334	-0.11733333333333333	-0.16033333333333333	-0.273	-0.11733333333333333	-0.273	-0.1815
chr1	923666	923668	-0.4163333333333333	-0.25966666666666666	-0.19566666666666666	-0.395	-0.19566666666666666	-0.4163333333333333	-0.31666666666666665
chr1	923669	923671	-0.202	-0.2923333333333333	-0.13333333333333333	-0.27	-0.13333333333333333	-0.2923333333333333	-0.22441666666666665
