Mixture	NaiveCD4	NaiveCD8	nB	NK	Mono	cm8	em8	Tregs	em4	ed8	cm4	mB
Y-3674-cfDNA	7.370100191636086	6.481318657158985	6.4655380682856896	8.428216758740207	17.858260788556006	8.54262244907674	7.845057836327057	6.488247475244431	10.10037491645343	8.204632426255754	7.479875501993993	4.735754930271608
Y-3685-cfDNA	6.781550271798029	8.34013307488827	6.286283584043587	8.538249222806957	15.72601109505596	7.919185963791951	8.313675529513274	8.18422022545992	8.811876691724061	8.761160156291654	7.186717880550909	5.150936304075439
Y-3688-cfDNA	7.003864067443287	7.316978133854694	5.90851394218063	6.61721702780799	12.179388583777337	8.43052095526037	10.369755701979894	8.414024914148174	12.676516470476379	7.129602569225502	8.88771950126329	5.065898132582458
Y-3694-cfDNA	6.476445402312447	6.506006813506366	6.28896180196173	8.12528485895354	21.099470794316964	7.8351534239427325	8.27903765378045	6.549775368999764	8.740076442500385	7.438357680765104	7.958844306661403	4.702585452299117
Y-3703-cfDNA	7.523195101753838	5.9199795749353035	5.495221538551473	7.423730051610445	13.304427996409988	8.979199579987576	10.331830043062595	7.721857579618753	11.219888578387781	8.329714929052392	8.749825912603429	5.001129114026429
Y-3706-cfDNA	6.952995062642961	4.846095426407153	6.1036000454298796	6.058233758194615	17.01259011569029	9.825867319973144	9.823731514550204	8.139254791585538	10.144500116357861	8.179935532685656	8.211945754909559	4.701250561573145
Y-3707-cfDNA	9.463203949750651	6.5385667915122125	7.182341407803802	9.037856704975228	16.440173918432087	7.306022735451859	8.654002593960877	7.677927667401353	7.151219088196735	7.531809249439511	7.967130146246516	5.049745746829171
Y-3711-cfDNA	6.735364298416793	7.677726375081207	4.767585352470116	6.7050647182384235	10.644455284254304	9.952795510393374	11.345292525441424	8.178947260661126	11.360974839013483	8.718426058060576	9.779288129598648	4.134079648370526
Y-3715-cfDNA	6.610099070314414	7.926444700721184	6.356370597174811	7.929517468566498	16.567803645069315	8.57170522297305	7.99877006920058	8.047320426142294	8.900488390241934	6.982990207046963	9.038704716050246	5.069785486498704
Y-3720-cfDNA	6.925810152284264	6.838655381042733	5.3363783713916675	5.389470343229541	11.612697628494868	10.523463506720319	10.226418006618028	8.852451311001722	11.813537746480758	7.4092194247624175	10.243707541617612	4.828190586356091
Y-3735-cfDNA	7.2235206653618045	6.247332665082842	6.874528132753308	8.584243693951914	16.853762801655197	8.517983926140623	7.392221820348271	7.811140772288043	8.942644442181102	7.668468427784046	7.932338803066752	5.951813849386074
Y-3737-cfDNA	6.5468349430068296	6.632792880051248	6.46137177552718	6.396862713863783	16.938869633239783	8.905043866415003	9.371695015054538	7.943951715825507	10.316645304402037	6.714409172225366	9.070237493177787	4.701285487210933
Y-3814-cfDNA	6.307715270029622	5.810331277316679	5.353794532979104	6.4248850950886975	19.134659430531286	7.623754233305332	9.662317992054987	8.213889610680432	9.861181824467112	8.696756376862014	8.19990096830695	4.710813388377782
Y-3824-cfDNA	7.0203525370221955	6.9822212166037065	6.104554059995538	7.712845040631157	14.392269101005578	9.192348745216368	9.457680028795998	8.206415829191014	9.573210499136731	8.252127814195374	8.581829999933866	4.5241451282724725
Y-3879-cfDNA	6.48462896983979	7.437241256702916	7.006976373346772	9.002549489039215	15.367851683454708	9.29861520461163	7.831346974784401	7.615243280319732	9.567546584174623	7.546549162724918	7.939644794015803	4.901806226985495
Y-3880-cfDNA	5.768736205281109	6.367987312338122	6.966303296990585	7.479041675669751	14.546932687710765	8.45136874675947	9.841354146640475	9.456437648528325	9.627079166832624	7.5606241758984325	8.906642151585809	5.027492785764523
Y-3893-cfDNA	7.519527185455216	6.057740299589056	5.91908861677748	6.803940332335842	14.695193330951481	9.090997509085561	8.99376721445933	7.62421679009407	11.007972457982616	7.166969695805187	10.479216114936612	4.6413704525275365
Y-3918-cfDNA	8.03954954667431	6.95685124858781	6.440551328306213	5.8627955529588895	13.262270352084407	8.367908940377621	8.311096285344581	7.721946547010078	11.665947274916237	7.551331774364487	10.967589560157814	4.852161589217558
Y-3920-cfDNA	7.265387531960322	6.577978572590405	7.078508644110902	7.153793260942823	18.213747653835156	6.610636702567482	9.315581843393046	6.980805034506589	9.86694483119463	8.167138773411194	9.042309556688854	3.727167594798616
Y-3925-cfDNA	7.777446916003868	7.115329681715327	5.5340956717791805	7.269767640467105	17.279941847199996	9.00716193476799	8.853531203178155	9.439025321305836	9.589641978885254	6.791624037743752	6.9283767632017765	4.41405700375176
Y-3938-cfDNA	7.312472977763604	7.080008274652672	5.570874735057792	4.353167176911293	9.673964525947783	11.077586290282957	11.071625621076382	8.398869170593835	12.156377026145266	7.22682138684389	10.691265564158629	5.38696725056589
Y-3941-cfDNA	5.529811393184629	5.8044883389807165	5.872549707934181	6.583785077504695	19.767260560397055	8.709544821983641	9.023323745670748	8.028065827435935	9.900503713910147	7.537942922500694	8.879860723431214	4.362863167066334
tot-66-cfDNA	5.4370847319447	5.60150544458361	5.862763891545784	6.340372150669695	17.732937967533633	9.297489028390228	9.89794878289602	9.181544315423151	10.42030167177538	7.181261345140108	8.812623247045755	4.234167423051928
tot-67-cfDNA	6.05056218352512	4.913962885177722	5.22028272277131	6.2351747519591685	14.962618181868828	9.927065074279096	10.29650079921237	9.77399535427915	12.214875922507073	7.319386830199007	9.199773975690006	3.885801318531152
tot-72-cfDNA	6.545999759192371	7.214128756085556	6.424527132260725	7.065245644187708	14.664002651168346	8.851160713477487	9.414789417386663	8.661726504676823	9.430149394313439	7.375648634829253	9.654325853527045	4.698295538894605
tot-PH1-cfDNA	7.368416461166897	7.517321264517357	7.85926843947066	8.639357491615268	14.323512051456383	8.0672416057244	7.802156641114828	8.657181193555063	8.360929371389378	7.3621219475368465	9.006324227027392	5.036169305425528
tot-PH16-cfDNA	7.075738172244001	7.368207740796015	7.2202647455407085	9.236370126400812	11.976603439912964	9.225934975553733	8.857579956994638	8.543795227137029	8.647893498191813	8.047061982216524	9.188423516699075	4.612126618312674
tot-PH17-cfDNA	6.498713363228539	6.656710068010549	7.009973690805542	7.935305089147314	16.655996805114544	8.31813186495337	8.407329306013722	8.449014877136015	8.899698040934965	7.918885898874982	8.15925802330105	5.09098297247941
tot-PH4-cfDNA	7.235946827949638	7.077876822261733	7.143886870563099	8.188071987417873	16.999510512479787	7.930940451026558	8.440334779793373	7.6844668990862	8.451625959854097	7.472310409819771	8.340143380191316	5.034885099556549
tot-PH7-cfDNA	6.08741089004421	6.114749755483299	5.809276837444873	6.517540410697451	16.940933571824203	9.163287696040605	9.923070422510103	8.53975272270618	10.29809973469143	7.0831768451374675	9.129467788001957	4.393233325418216
tot-YUCLUE_20-3998-cfDNA	6.440097620767525	6.663710104004162	6.021770340181302	7.342264875817178	14.230044834865962	9.385429650815505	9.605216574508288	8.062281690098066	10.096535873481848	8.5139293853932	8.653960312209751	4.984758737857204
tot-YUMARS_15-3443-cfDNA	6.0462125116900145	6.410015480242699	5.739432121127016	7.950505191522353	17.001122301537354	8.917982595576193	9.987298415247384	7.587023888644979	9.811541155751348	7.909990123784412	8.093346193925123	4.5455300209511185
tot-YUMICRO_20-4006-cfDNA	6.977045179333287	7.66399867999575	6.489587808004139	5.442370275855484	11.17549290110333	10.627570761503653	10.78213273816444	7.664281542758698	11.709591692092829	6.302502403037202	10.150082823733575	5.015343194417627
tot-YUMOTE_17-3755-cfDNA	6.227207343095547	7.015262584008668	6.220632262940195	5.430922982213288	14.990277311712067	10.075607498333932	10.134538909925428	7.819415828372439	11.057360052088123	6.377032568105919	9.511822421818561	5.139920237385813
tot-YUPRAF_19-3925-cfDNA	5.97880643105322	6.29873157268917	5.403252759955166	6.282375846907167	15.714125943377569	9.991006385946434	10.155247536903712	7.708713673160744	10.401447926381131	8.271738727476922	9.65306356618353	4.141489629965248
tot-YUREIL_17-3713-cfDNA	6.822848738520972	6.177427632484768	5.973462795950042	7.355828127108566	18.110792011823687	8.081513700098746	8.890984168211915	7.404236880641479	9.600053704712193	7.259179372152831	9.554402339337049	4.7692705289577555
tot-YUSTRAW_20-4002-cfDNA	6.160047570118145	7.443455126300641	5.235260778731857	9.731212766474789	16.87451885634255	7.626981244420071	9.216209584929615	6.630924910824976	9.221643477616343	9.511309724300695	8.13515255921141	4.213283400728911
tot-YUTAUR_19-3926-cfDNA	6.656593537379199	6.983678731507613	6.689387671600774	6.127413258757838	13.095298064407961	10.72623364429883	9.850554009380664	7.723484739762264	10.810601784887364	7.008240070886294	8.906937805995675	5.421576681135515
tot-YUTHEA_20-4000-cfDNA	6.361126573300188	6.351916818286055	6.7297994716303755	6.560613712837937	13.6285444889038	10.585750069763657	9.705915793526195	7.497283197276833	11.251417342632363	7.091529795297246	8.665607731836312	5.570495004709039
tot-YUVIRTUE_20-4029-cfDNA	6.336872781409844	6.623730458384699	5.735637697747997	7.38452903398371	15.164275620192246	9.477184326754728	9.572941849460465	8.40705490245318	9.80983827922088	7.381083692810201	9.66325494064852	4.443596416933532
