chrom	start	end	Naive CD8 T-NK	Naive CD8 T-Mono	Naive CD8 T-B_cell	Naive CD8 T-Naive CD4 T	Minimum delta	Maximum delta	Average delta	(Minimum delta+Average delta)/2
chr1	64562	64564	0.6826666666666668	0.619	0.5796666666666669	0.33299999999999996	0.33299999999999996	0.6826666666666668	0.5535833333333334	0.4432916666666667
chr1	929305	929307	0.5806666666666667	0.6040000000000001	0.3413333333333333	0.4199999999999999	0.3413333333333333	0.6040000000000001	0.4865	0.41391666666666665
chr1	929872	929874	0.4843333333333333	0.4843333333333333	0.3346666666666667	0.28500000000000003	0.28500000000000003	0.4843333333333333	0.3970833333333333	0.3410416666666667
chr1	926297	926299	0.32666666666666666	0.385	0.31266666666666665	0.349	0.31266666666666665	0.385	0.3433333333333333	0.32799999999999996
chr1	933530	933532	0.44233333333333336	0.44266666666666665	0.5306666666666666	0.2323333333333333	0.2323333333333333	0.5306666666666666	0.41200000000000003	0.32216666666666666
chr1	932752	932754	0.275	0.4999999999999999	0.2833333333333333	0.22466666666666651	0.22466666666666651	0.4999999999999999	0.3207499999999999	0.2727083333333332
chr1	932935	932937	0.393	0.3540000000000001	0.3523333333333334	0.20966666666666667	0.20966666666666667	0.393	0.32725000000000004	0.26845833333333335
chr1	67222	67224	0.35	0.35	0.35	0.21900000000000008	0.21900000000000008	0.35	0.31725	0.26812500000000006
chr1	927903	927905	0.32066666666666666	0.31433333333333324	0.2456666666666666	0.255	0.2456666666666666	0.32066666666666666	0.2839166666666666	0.2647916666666666
chr1	931056	931058	0.37	0.402	0.2353333333333333	0.20266666666666672	0.20266666666666672	0.402	0.30250000000000005	0.2525833333333334
chr1	929837	929839	0.15933333333333333	0.4993333333333334	0.4993333333333334	0.22166666666666668	0.15933333333333333	0.4993333333333334	0.3449166666666667	0.25212500000000004
chr1	927322	927324	0.32833333333333325	0.32833333333333325	0.2806666666666666	0.2048333333333333	0.2048333333333333	0.32833333333333325	0.2855416666666666	0.24518749999999995
chr1	941650	941652	0.2	0.238	0.25633333333333336	0.3386666666666666	0.2	0.3386666666666666	0.25825	0.229125
chr1	929073	929075	0.2758333333333333	0.2733333333333332	0.20499999999999985	0.2553333333333333	0.20499999999999985	0.2758333333333333	0.2523749999999999	0.22868749999999988
chr1	938610	938612	0.344	0.4326666666666665	0.16600000000000004	0.2006666666666668	0.16600000000000004	0.4326666666666665	0.2858333333333333	0.22591666666666665
chr1	930518	930520	0.3963333333333333	0.3993333333333333	0.2289999999999999	0.1473333333333332	0.1473333333333332	0.3993333333333333	0.2929999999999999	0.22016666666666657
chr1	936617	936619	0.2885	0.2885	0.2885	0.1768333333333333	0.1768333333333333	0.2885	0.2605833333333333	0.21870833333333328
chr1	928932	928934	0.3363333333333333	0.2725	0.14866666666666667	0.3713333333333333	0.14866666666666667	0.3713333333333333	0.2822083333333333	0.21543749999999998
chr1	924125	924127	0.22333333333333336	0.14766666666666664	0.31466666666666665	0.4165	0.14766666666666664	0.4165	0.2755416666666667	0.21160416666666665
chr1	928114	928116	0.2623333333333333	0.21966666666666654	0.20666666666666667	0.1998333333333333	0.1998333333333333	0.2623333333333333	0.222125	0.21097916666666666
chr1	933194	933196	0.2510000000000001	0.4293333333333335	0.2380000000000002	0.1123333333333334	0.1123333333333334	0.4293333333333335	0.2576666666666668	0.1850000000000001
chr1	931259	931261	0.4246666666666665	0.2713333333333332	0.09999999999999998	0.2546666666666666	0.09999999999999998	0.4246666666666665	0.2626666666666666	0.1813333333333333
chr1	931519	931521	0.16266666666666668	0.3963333333333333	0.3256666666666666	0.10333333333333332	0.10333333333333332	0.3963333333333333	0.24699999999999994	0.17516666666666664
chr1	925625	925627	0.13433333333333336	0.17283333333333334	0.3910000000000001	0.16200000000000006	0.13433333333333336	0.3910000000000001	0.21504166666666671	0.17468750000000005
chr1	929401	929403	0.2256666666666668	0.3250000000000001	0.32633333333333336	0.09399999999999996	0.09399999999999996	0.32633333333333336	0.24275000000000005	0.168375
chr1	936988	936990	0.3816666666666666	0.2913333333333333	0.2483333333333333	0.08299999999999996	0.08299999999999996	0.3816666666666666	0.2510833333333333	0.16704166666666664
chr1	930630	930632	0.16699999999999993	0.16699999999999993	0.16699999999999993	0.16699999999999993	0.16699999999999993	0.16699999999999993	0.16699999999999993	0.16699999999999993
chr1	927221	927223	0.2096666666666668	0.16966666666666666	0.15933333333333333	0.15800000000000006	0.15800000000000006	0.2096666666666668	0.17416666666666672	0.1660833333333334
chr1	936742	936744	0.31433333333333313	0.09199999999999986	0.4253333333333332	0.1286666666666667	0.09199999999999986	0.4253333333333332	0.2400833333333332	0.16604166666666653
chr1	930544	930546	0.20766666666666656	0.18266666666666653	0.2443333333333332	0.13333333333333308	0.13333333333333308	0.2443333333333332	0.19199999999999984	0.16266666666666646
chr1	925065	925067	0.18800000000000008	0.18600000000000003	0.11333333333333336	0.353	0.11333333333333336	0.353	0.21008333333333332	0.16170833333333334
chr1	930685	930687	0.5543333333333333	0.31733333333333336	0.29200000000000004	0.02466666666666667	0.02466666666666667	0.5543333333333333	0.29708333333333337	0.16087500000000002
chr1	929875	929877	0.3376666666666667	0.3376666666666667	0.09266666666666667	0.139	0.09266666666666667	0.3376666666666667	0.22675000000000006	0.15970833333333337
chr1	923166	923168	0.3246666666666666	0.14966666666666667	0.11233333333333324	0.21733333333333327	0.11233333333333324	0.3246666666666666	0.201	0.15666666666666662
chr1	928762	928764	0.2603333333333333	0.22133333333333333	0.16900000000000004	0.1176666666666667	0.1176666666666667	0.2603333333333333	0.19208333333333336	0.15487500000000004
