chrom	start	Mono-others	Bcell-others	CD4-others	CD8-others	NK-others
chr1	938180	0.9	-0.3421666666666667	0.9	0.9	0.9
chr1	939582	0.9	-0.43241666666666667	0.9	0.9	0.9
chr1	936471	0.9	-0.29074999999999995	0.9	0.9	0.9
chr1	935038	0.9	-0.2665	0.9	0.9	0.9
chr1	932975	0.9	-0.2268333333333333	0.9	0.9	0.9
chr1	925544	0.9	-0.2619166666666667	0.9	0.9	0.9
chr1	939731	0.9	-0.2622083333333334	0.9	0.9	0.9
chr1	930937	0.9	-0.2758333333333334	0.9	0.9	0.9
chr1	939074	0.9	-0.20125000000000004	0.9	0.9	0.9
chr1	939229	0.9	-0.3012500000000001	0.9	0.9	0.9
chr1	932311	0.9	-0.1964166666666668	0.9	0.9	0.9
chr1	936428	0.9	-0.20216666666666647	0.9	0.9	0.9
chr1	933650	0.9	-0.19158333333333336	0.9	0.9	0.9
chr1	925038	0.9	-0.2513333333333333	0.9	0.9	0.9
chr1	924750	0.9	-0.19358333333333333	0.9	0.9	0.9
chr1	939983	0.9	-0.2580833333333334	0.9	0.9	0.9
chr1	939291	0.9	-0.18125	0.9	0.9	0.9
chr1	933094	0.9	-0.18008333333333332	0.9	0.9	0.9
chr1	937641	0.9	-0.18683333333333327	0.9	0.9	0.9
chr1	929547	0.9	-0.1795	0.9	0.9	0.9
