PBL	TIL	MEL_TUMOR
1.0	38.123651	60.876349
1.0	69.692335	29.307665
1.0	58.312263	40.687737
3.25	83.471998	13.278002
3.25	31.812078	64.937922
3.25	47.617655	49.132345
5.5	80.039573	14.460427
5.5	53.385504	41.114496
5.5	56.373753	38.126247
7.75	0.340336	91.909664
7.75	32.141681	60.108319
7.75	66.385679	25.864321
10.0	26.281233	63.718767
10.0	1.434858	88.565142
10.0	64.61587	25.38413
48.684926	1.0	50.315074
58.345738	1.0	40.654262
26.759888	1.0	72.240112
77.575932	3.25	19.174068
30.216622	3.25	66.533378
63.595513	3.25	33.154487
41.406642	5.5	53.093358
23.008261	5.5	71.491739
6.796436	5.5	87.703564
76.50847	7.75	15.74153
8.896383	7.75	83.353617
27.681471	7.75	64.568529
42.673249	10.0	47.326751
68.682621	10.0	21.317379
52.15989	10.0	37.84011
55.272053	43.727947	1.0
67.55101	31.44899	1.0
17.64824	81.35176	1.0
45.850576	50.899424	3.25
62.813692	33.936308	3.25
61.861508	34.888492	3.25
46.158945	48.341055	5.5
40.591254	53.908746	5.5
9.169932	85.330068	5.5
60.765602	31.484398	7.75
51.140906	41.109094	7.75
47.691218	44.558782	7.75
66.654659	23.345341	10.0
45.778779	44.221221	10.0
64.418849	25.581151	10.0
