chrom	start	Mono-others	Bcell-others	CD4-others	CD8-others	NK-others
chr1	933908	0.9	0.9	-0.368125	0.9	0.9
chr1	938879	0.9	0.9	-0.3353750000000001	0.9	0.9
chr1	927476	0.9	0.9	-0.3614583333333333	0.9	0.9
chr1	937456	0.9	0.9	-0.3416666666666667	0.9	0.9
chr1	932855	0.9	0.9	-0.30275	0.9	0.9
chr1	923666	0.9	0.9	-0.31666666666666665	0.9	0.9
chr1	926194	0.9	0.9	-0.3481666666666667	0.9	0.9
chr1	924395	0.9	0.9	-0.2845	0.9	0.9
chr1	930026	0.9	0.9	-0.33591666666666664	0.9	0.9
chr1	939136	0.9	0.9	-0.28450000000000003	0.9	0.9
chr1	939257	0.9	0.9	-0.2803333333333333	0.9	0.9
chr1	940969	0.9	0.9	-0.2723333333333333	0.9	0.9
chr1	941290	0.9	0.9	-0.3158333333333334	0.9	0.9
chr1	936007	0.9	0.9	-0.3638333333333333	0.9	0.9
chr1	930258	0.9	0.9	-0.2629583333333334	0.9	0.9
chr1	924929	0.9	0.9	-0.2520833333333333	0.9	0.9
chr1	932557	0.9	0.9	-0.2502500000000001	0.9	0.9
chr1	938957	0.9	0.9	-0.26408333333333345	0.9	0.9
chr1	924256	0.9	0.9	-0.2696666666666667	0.9	0.9
chr1	941567	0.9	0.9	-0.27225	0.9	0.9
