chrom	start	end	CD8-NK	CD8-Mono	CD8-B_cell	CD8-CD4	maxdelta	mindelta	Avgdelta
chr1	64562	64564	-0.6826666666666668	-0.619	-0.5796666666666669	-0.333	-0.333	-0.6826666666666668	-0.5535833333333334
chr1	64763	64765	-0.17133333333333334	-0.27866666666666673	-0.02299999999999991	0.07066666666666667	0.07066666666666667	-0.27866666666666673	-0.10058333333333333
chr1	67222	67224	-0.35	-0.35	-0.35	-0.21900000000000008	-0.21900000000000008	-0.35	-0.31725
chr1	922981	922983	-0.09566666666666668	-0.07333333333333325	-0.09566666666666668	-0.028999999999999918	-0.028999999999999918	-0.09566666666666668	-0.07341666666666663
chr1	922991	922993	-0.0033333333333334107	-0.13	-0.09733333333333337	-0.06333333333333324	-0.0033333333333334107	-0.13	-0.07350000000000001
chr1	923025	923027	0.3276666666666666	0.10400000000000008	-0.03633333333333333	0.005333333333333301	0.3276666666666666	-0.03633333333333333	0.10016666666666667
chr1	923048	923050	-0.033333333333333326	-0.00766666666666671	0.03666666666666663	0.05000000000000005	0.05000000000000005	-0.033333333333333326	0.011416666666666662
chr1	923053	923055	0.031333333333333435	0.04066666666666674	0.05000000000000005	-0.051999999999999935	0.05000000000000005	-0.051999999999999935	0.01750000000000007
chr1	923070	923072	0.04600000000000004	-0.028000000000000025	0.05400000000000005	-0.1393333333333333	0.05400000000000005	-0.1393333333333333	-0.01683333333333331
chr1	923081	923083	-0.034666666666666734	0.08266666666666678	-0.019000000000000128	-0.09233333333333338	0.08266666666666678	-0.09233333333333338	-0.015833333333333366
chr1	923166	923168	-0.3246666666666666	-0.14966666666666667	-0.11233333333333324	-0.21733333333333327	-0.11233333333333324	-0.3246666666666666	-0.20099999999999996
chr1	923177	923179	0.18600000000000005	0.010666666666666824	-0.05933333333333335	-0.14766666666666672	0.18600000000000005	-0.14766666666666672	-0.0025833333333332986
chr1	923217	923219	0.08066666666666669	-0.0060000000000000045	0.12533333333333332	-0.15400000000000005	0.12533333333333332	-0.15400000000000005	0.01149999999999999
chr1	923234	923236	0.15800000000000008	0.20466666666666672	0.121	0.1906666666666667	0.20466666666666672	0.121	0.16858333333333336
chr1	923260	923262	-0.07699999999999999	-0.13733333333333336	-0.09666666666666668	0.03933333333333334	0.03933333333333334	-0.13733333333333336	-0.06791666666666668
chr1	923331	923333	0.14833333333333332	-0.025000000000000026	-0.05266666666666664	0.26366666666666666	0.26366666666666666	-0.05266666666666664	0.08358333333333333
chr1	923333	923335	0.2736666666666666	0.2846666666666666	0.193	0.3038333333333333	0.3038333333333333	0.193	0.26379166666666665
chr1	923409	923411	0.15533333333333332	0.03566666666666665	0.139	0.25	0.25	0.03566666666666665	0.145
chr1	923439	923441	0.3093333333333333	0.22233333333333336	0.22133333333333333	0.3643333333333333	0.3643333333333333	0.22133333333333333	0.2793333333333333
chr1	923446	923448	0.13399999999999995	0.0703333333333333	0.2203333333333333	0.011999999999999957	0.2203333333333333	0.011999999999999957	0.10916666666666662
chr1	923450	923452	0.3276666666666668	0.2403333333333334	0.3366666666666667	0.3783333333333334	0.3783333333333334	0.2403333333333334	0.3207500000000001
chr1	923485	923487	-0.08433333333333333	-0.06033333333333335	0.14300000000000002	0.12716666666666665	0.14300000000000002	-0.08433333333333333	0.031375
chr1	923493	923495	0.029999999999999968	0.12733333333333333	-0.12533333333333335	0.21083333333333326	0.21083333333333326	-0.12533333333333335	0.0607083333333333
chr1	923560	923562	-0.062	0.16466666666666668	0.12766666666666668	0.12466666666666668	0.16466666666666668	-0.062	0.08875000000000001
chr1	923590	923592	-0.10133333333333333	-0.04566666666666668	-0.08033333333333333	0.013000000000000013	0.013000000000000013	-0.10133333333333333	-0.05358333333333333
chr1	923598	923600	-0.0616666666666667	0.06133333333333334	-0.2373333333333333	-0.21033333333333334	0.06133333333333334	-0.2373333333333333	-0.11200000000000002
chr1	923608	923610	0.127	0.128	0.02833333333333335	0.10866666666666668	0.128	0.02833333333333335	0.098
