chrom	start	end	NK-CD4	NK-B_cell	NK-CD8	NK-Mono	maxdelta	mindelta	Avgdelta
chr1	64562	64564	0.34966666666666674	0.10299999999999987	0.6826666666666668	0.06366666666666676	0.6826666666666668	0.06366666666666676	0.29975
chr1	64763	64765	0.242	0.14833333333333346	0.17133333333333334	-0.1073333333333334	0.242	-0.1073333333333334	0.11358333333333334
chr1	922991	922993	-0.059999999999999824	-0.09399999999999996	0.0033333333333334107	-0.1266666666666666	0.0033333333333334107	-0.1266666666666666	-0.06933333333333325
chr1	923025	923027	-0.3223333333333333	-0.3639999999999999	-0.3276666666666666	-0.2236666666666665	-0.2236666666666665	-0.3639999999999999	-0.30941666666666656
chr1	923048	923050	0.08333333333333337	0.06999999999999995	0.033333333333333326	0.025666666666666612	0.08333333333333337	0.025666666666666612	0.053083333333333316
chr1	923053	923055	-0.08333333333333337	0.01866666666666661	-0.031333333333333435	0.009333333333333305	0.01866666666666661	-0.08333333333333337	-0.021666666666666723
chr1	923070	923072	-0.18533333333333332	0.008000000000000007	-0.04600000000000004	-0.07400000000000008	0.008000000000000007	-0.18533333333333332	-0.07433333333333336
chr1	923081	923083	-0.05766666666666664	0.01566666666666661	0.034666666666666734	0.11733333333333353	0.11733333333333353	-0.05766666666666664	0.02750000000000006
chr1	923166	923168	0.10733333333333328	0.21233333333333335	0.3246666666666666	0.17499999999999993	0.3246666666666666	0.10733333333333328	0.20483333333333328
chr1	923177	923179	-0.3336666666666668	-0.2453333333333334	-0.18600000000000005	-0.17533333333333326	-0.17533333333333326	-0.3336666666666668	-0.23508333333333337
chr1	923217	923219	-0.2346666666666667	0.04466666666666663	-0.08066666666666669	-0.0866666666666667	0.04466666666666663	-0.2346666666666667	-0.08933333333333335
chr1	923234	923236	0.03266666666666662	-0.03700000000000009	-0.15800000000000008	0.046666666666666634	0.046666666666666634	-0.15800000000000008	-0.02891666666666673
chr1	923260	923262	0.11633333333333333	-0.019666666666666683	0.07699999999999999	-0.060333333333333336	0.11633333333333333	-0.060333333333333336	0.028333333333333325
chr1	923331	923333	0.11533333333333334	-0.201	-0.14833333333333332	-0.17333333333333334	0.11533333333333334	-0.201	-0.10183333333333333
chr1	923333	923335	0.03016666666666669	-0.08066666666666665	-0.2736666666666666	0.010999999999999996	0.03016666666666669	-0.2736666666666666	-0.07829166666666665
chr1	923409	923411	0.09466666666666666	-0.016333333333333325	-0.15533333333333332	-0.11966666666666667	0.09466666666666666	-0.15533333333333332	-0.049166666666666664
chr1	923439	923441	0.055	-0.08800000000000002	-0.3093333333333333	-0.087	0.055	-0.3093333333333333	-0.10733333333333334
chr1	923446	923448	-0.122	0.08633333333333335	-0.13399999999999995	-0.06366666666666665	0.08633333333333335	-0.13399999999999995	-0.05833333333333331
chr1	923450	923452	0.050666666666666665	0.009000000000000001	-0.3276666666666668	-0.08733333333333335	0.050666666666666665	-0.3276666666666668	-0.08883333333333338
chr1	923485	923487	0.2115	0.2273333333333333	0.08433333333333333	0.02399999999999997	0.2273333333333333	0.02399999999999997	0.13679166666666667
chr1	923493	923495	0.18083333333333332	-0.15533333333333332	-0.029999999999999968	0.09733333333333337	0.18083333333333332	-0.15533333333333332	0.023208333333333348
chr1	923560	923562	0.18666666666666668	0.18966666666666668	0.062	0.2266666666666667	0.2266666666666667	0.062	0.16625
chr1	923590	923592	0.11433333333333336	0.02100000000000002	0.10133333333333333	0.05566666666666667	0.11433333333333336	0.02100000000000002	0.07308333333333333
chr1	923598	923600	-0.14866666666666667	-0.17566666666666664	0.0616666666666667	0.12300000000000005	0.12300000000000005	-0.17566666666666664	-0.03491666666666664
chr1	923608	923610	-0.018333333333333316	-0.09866666666666664	-0.127	0.0010000000000000009	0.0010000000000000009	-0.127	-0.060749999999999985
chr1	923624	923626	-0.04200000000000004	-0.06000000000000005	-0.0053333333333333574	0.059333333333333314	0.059333333333333314	-0.06000000000000005	-0.012000000000000033
chr1	923629	923631	-0.215	-0.09133333333333334	-0.16533333333333333	-0.014666666666666675	-0.014666666666666675	-0.215	-0.12158333333333333
chr1	923645	923647	-0.06733333333333327	-0.10466666666666666	-0.1013333333333333	-0.11400000000000003	-0.06733333333333327	-0.11400000000000003	-0.09683333333333331
chr1	923648	923650	-0.08966666666666663	-0.0633333333333333	-0.013333333333333308	-0.08466666666666668	-0.013333333333333308	-0.08966666666666663	-0.06274999999999997
chr1	923651	923653	0.047666666666666684	-0.16066666666666668	-0.16833333333333328	-0.043333333333333314	0.047666666666666684	-0.16833333333333328	-0.08116666666666665
chr1	923655	923657	0.16033333333333333	-0.11266666666666665	-0.015000000000000013	0.043	0.16033333333333333	-0.11266666666666665	0.018916666666666665
chr1	923666	923668	0.19566666666666666	-0.19933333333333336	-0.22066666666666665	-0.064	0.19566666666666666	-0.22066666666666665	-0.07208333333333333
chr1	923669	923671	0.13333333333333333	-0.1366666666666667	-0.06866666666666665	-0.159	0.13333333333333333	-0.159	-0.05775
chr1	923694	923696	-0.08066666666666666	-0.09466666666666668	-0.019333333333333317	0.013999999999999985	0.013999999999999985	-0.09466666666666668	-0.04516666666666667
chr1	923705	923707	-0.184	-0.19899999999999995	-0.3113333333333333	-0.11100000000000003	-0.11100000000000003	-0.3113333333333333	-0.2013333333333333
chr1	923710	923712	0.008333333333333331	-0.10033333333333336	-0.02466666666666667	-0.13066666666666665	0.008333333333333331	-0.13066666666666665	-0.06183333333333334
chr1	923712	923714	0.012999999999999984	-0.0010000000000000009	-0.19933333333333333	-0.0006666666666667043	0.012999999999999984	-0.19933333333333333	-0.047000000000000014
chr1	923737	923739	-0.010666666666666658	-0.04700000000000002	-0.17166666666666666	-0.06900000000000002	-0.010666666666666658	-0.17166666666666666	-0.07458333333333333
chr1	923739	923741	-0.05266666666666667	-0.13333333333333336	-0.10566666666666663	-0.029666666666666675	-0.029666666666666675	-0.13333333333333336	-0.08033333333333333
chr1	923741	923743	0.061333333333333365	0.07400000000000002	-0.05533333333333329	-0.05366666666666664	0.07400000000000002	-0.05533333333333329	0.006583333333333365
chr1	923760	923762	0.094	0.08933333333333332	-0.09366666666666662	0.084	0.094	-0.09366666666666662	0.04341666666666667
chr1	923764	923766	-0.09733333333333334	0.042666666666666665	-0.081	-0.17200000000000004	0.042666666666666665	-0.17200000000000004	-0.07691666666666669
chr1	923774	923776	-0.04199999999999995	-0.02933333333333332	-0.18933333333333333	0.09866666666666668	0.09866666666666668	-0.18933333333333333	-0.04049999999999998
chr1	923781	923783	0.04566666666666667	0.016	-0.2373333333333334	0.006333333333333344	0.04566666666666667	-0.2373333333333334	-0.04233333333333335
chr1	923792	923794	-0.021	-0.04299999999999999	-0.104	-0.03766666666666666	-0.021	-0.104	-0.05141666666666666
chr1	923799	923801	0.11666666666666665	0.15599999999999994	0.057333333333333285	0.15599999999999994	0.15599999999999994	0.057333333333333285	0.12149999999999997
