chrom	start	end	Mono-B_cell	Mono-Naive CD4 T	Mono-NK	Mono-Naive CD8 T	Minimum delta	Maximum delta	Average delta	(Minimum delta+Average delta)/2
chr1	936432	936434	0.28600000000000003	0.3683333333333333	0.31833333333333336	0.4583333333333334	0.28600000000000003	0.4583333333333334	0.35775	0.321875
chr1	939458	939460	0.24516666666666675	0.34550000000000003	0.3855000000000001	0.451	0.24516666666666675	0.451	0.35679166666666673	0.30097916666666674
chr1	936159	936161	0.30933333333333346	0.43033333333333335	0.2576666666666667	0.2486666666666667	0.2486666666666667	0.43033333333333335	0.31150000000000005	0.28008333333333335
chr1	930163	930165	0.1941666666666667	0.4165	0.4165	0.2738333333333334	0.1941666666666667	0.4165	0.32525	0.2597083333333333
chr1	935044	935046	0.16949999999999998	0.4895000000000001	0.3715	0.2651666666666667	0.16949999999999998	0.4895000000000001	0.3239166666666667	0.24670833333333334
chr1	925758	925760	0.26	0.29766666666666663	0.21666666666666667	0.2998333333333333	0.21666666666666667	0.2998333333333333	0.2685416666666667	0.24260416666666668
chr1	941103	941105	0.16399999999999998	0.26316666666666666	0.3503333333333333	0.39566666666666667	0.16399999999999998	0.39566666666666667	0.2932916666666666	0.2286458333333333
chr1	925778	925780	0.3	0.25	0.184	0.34950000000000003	0.184	0.34950000000000003	0.270875	0.2274375
chr1	925791	925793	0.2896666666666667	0.25	0.2776666666666667	0.198	0.198	0.2896666666666667	0.25383333333333336	0.22591666666666668
chr1	931187	931189	0.2736666666666665	0.19199999999999995	0.2523333333333333	0.2846666666666666	0.19199999999999995	0.2846666666666666	0.2506666666666666	0.22133333333333327
chr1	924624	924626	0.34450000000000003	0.17783333333333332	0.17800000000000002	0.34450000000000003	0.17783333333333332	0.34450000000000003	0.2612083333333334	0.21952083333333333
chr1	936216	936218	0.20666666666666667	0.52	0.13466666666666666	0.2773333333333333	0.13466666666666666	0.52	0.2846666666666666	0.20966666666666664
chr1	940585	940587	0.209	0.266	0.183	0.2486666666666667	0.183	0.266	0.22666666666666666	0.2048333333333333
chr1	929034	929036	0.15416666666666673	0.4191666666666667	0.4865	0.1135	0.1135	0.4865	0.2933333333333333	0.20341666666666663
chr1	927949	927951	0.2623333333333332	0.2666666666666666	0.30299999999999994	0.15566666666666662	0.15566666666666662	0.30299999999999994	0.2469166666666666	0.2012916666666666
chr1	933468	933470	0.2936666666666667	0.15466666666666656	0.2383333333333333	0.3010000000000001	0.15466666666666656	0.3010000000000001	0.2469166666666667	0.20079166666666665
chr1	924632	924634	0.3733333333333333	0.15	0.15	0.3165	0.15	0.3733333333333333	0.2474583333333333	0.19872916666666665
chr1	939846	939848	0.21900000000000008	0.18433333333333327	0.17466666666666664	0.2643333333333333	0.17466666666666664	0.2643333333333333	0.21058333333333332	0.192625
chr1	935270	935272	0.16166666666666665	0.21100000000000002	0.18566666666666665	0.3296666666666668	0.16166666666666665	0.3296666666666668	0.22200000000000006	0.19183333333333336
chr1	939964	939966	0.10866666666666662	0.4600000000000001	0.09966666666666668	0.461	0.09966666666666668	0.461	0.2823333333333333	0.191
