chrom	start	end	OtherGroup_avg_delta rank	OwnGroup_avg_delta rank	Average delta rank	Minimum delta rank	Tregs-Bcell	Tregs-Myloid	Tregs-NK	Tregs-Naive CD4 T	Tregs-Naive CD8 T	Tregs-PMNlike	Tregs-CD4 TCM	Tregs-CD8 TCM	Tregs-CD8 TEMRA	Tregs-CD4 TEM	Tregs-CD8 TEM	Minimum delta	Maximum delta	Average delta	(Minimum delta+Average delta)/2	(Minimum delta rank+Average delta rank)/2	OwnGroup_avg_delta	OtherGroup_avg_delta	(OwnGroup_avg_delta rank+OtherGroup_avg_delta rank)/2	(OwnGroup_avg_delta rank+Average delta rank)/2
chr1	933650	933652	0	0	0	0	0.1917500000000001	0.14712499999999995	0.18200000000000016	0.19133333333333336	0.33433333333333337	0.18899999999999995	0.3470000000000001	0.3265	0.2035	0.15300000000000002	0.3275	0.14712499999999995	0.3470000000000001	0.2357310606060606	0.1914280303030303	0.0	0.2581458333333334	0.17595833333333333	0.0	0.0
chr1	926156	926158	1	1	1	1	0.13378571428571429	0.10506250000000003	0.23716666666666675	0.10316666666666667	0.11283333333333335	0.19483333333333336	0.2385	0.08600000000000001	0.05550000000000002	0.18000000000000005	0.2240000000000001	0.05550000000000002	0.2385	0.15189529220779224	0.10369764610389613	1.0	0.15464583333333337	0.14456051587301588	1.0	1.0
chr1	935587	935589	2	4	2	3	0.09087499999999996	0.11468749999999996	0.25783333333333325	0.04349999999999998	0.17049999999999996	0.1809444444444444	0.101	0.08199999999999999	0.14800000000000002	0.05999999999999998	0.13799999999999998	0.04349999999999998	0.25783333333333325	0.12612184343434346	0.08481092171717172	2.5	0.12510416666666666	0.1288356481481481	3.0	3.0
chr1	943035	943037	12	3	3	31	0.06864285714285714	0.0037499999999999756	0.10783333333333332	0.1215	0.2025	0.08827777777777779	0.1165	0.11	0.17600000000000002	0.1205	0.121	0.0037499999999999756	0.2025	0.11240945165945164	0.05807972582972581	17.0	0.13447916666666668	0.0535568783068783	7.5	3.0
chr1	933689	933691	19	2	5	17	0.023625000000000118	0.011533333333333284	0.028000000000000025	0.1935	0.08233333333333326	0.04614285714285715	0.26	0.122	0.1745	0.11	0.15149999999999994	0.011533333333333284	0.26	0.1093758658008658	0.060454599567099546	11.0	0.14022916666666665	0.02710039682539685	10.5	3.5
chr1	937356	937358	7	5	6	13	0.051875000000000115	0.14666666666666672	0.15133333333333332	0.17100000000000004	0.10433333333333328	0.015000000000000013	0.10850000000000004	0.10850000000000004	0.10850000000000004	0.14	0.06200000000000005	0.015000000000000013	0.17100000000000004	0.10615530303030307	0.06057765151515154	9.5	0.11927083333333335	0.07118055555555562	6.0	5.5
chr1	935577	935579	3	7	4	9	0.056375000000000064	0.12893750000000004	0.2345000000000001	0.0635	0.09016666666666673	0.15083333333333332	0.018500000000000016	0.11350000000000005	0.195	0.04200000000000004	0.11650000000000005	0.018500000000000016	0.2345000000000001	0.10998295454545458	0.0642414772727273	6.5	0.10920833333333338	0.11204861111111114	5.0	5.5
chr1	935238	935240	25	6	8	29	0.05550000000000002	0.004062500000000024	0.1055	0.023833333333333345	0.04816666666666666	0.0069444444444444475	0.0325	0.11700000000000002	0.2335	0.1035	0.2605000000000001	0.004062500000000024	0.2605000000000001	0.09009154040404042	0.047077020202020224	18.5	0.11556250000000001	0.022168981481481498	15.5	7.0
chr1	947723	947725	4	9	7	10	0.05192857142857121	0.09625000000000006	0.01849999999999996	0.08783333333333332	0.14349999999999996	0.14349999999999996	0.11949999999999995	0.14349999999999996	0.048000000000000036	0.07199999999999995	0.09050000000000002	0.01849999999999996	0.14349999999999996	0.0922738095238095	0.05538690476190473	8.5	0.09041666666666665	0.09722619047619041	6.5	8.0
chr1	936734	936736	11	8	9	4	0.047875	0.08506250000000004	0.125	0.125	0.125	0.04033333333333333	0.07499999999999996	0.125	0.05349999999999999	0.05000000000000005	0.125	0.04033333333333333	0.125	0.08879734848484849	0.06456534090909091	6.5	0.1004375	0.05775694444444446	9.5	8.5
chr1	944349	944351	13	10	10	12	0.02162500000000012	0.08000000000000007	0.1276666666666667	0.124	0.1110000000000001	0.05077777777777781	0.08950000000000014	0.10400000000000008	0.03100000000000014	0.017000000000000126	0.07750000000000012	0.017000000000000126	0.1276666666666667	0.07582449494949504	0.046412247474747585	11.0	0.08520833333333343	0.050800925925926	11.5	10.0
chr1	947830	947832	8	11	11	2	0.08087500000000003	0.07256249999999997	0.06266666666666676	0.04633333333333334	0.10399999999999998	0.051555555555555584	0.09049999999999993	0.05399999999999994	0.10399999999999998	0.10399999999999998	0.04699999999999993	0.04633333333333334	0.10399999999999998	0.0743175505050505	0.06032544191919192	6.5	0.07656249999999998	0.06833101851851853	9.5	11.0
