position	CD14-PBMC-1313.bedgraph_rolled	CD14-PBMC-1382.bedgraph_rolled	CD14-PBMC-1389.bedgraph_rolled	CD14-Tumor-1382.bedgraph_rolled	CD19-PBMC-1313.bedgraph_rolled	CD19-PBMC-1382.bedgraph_rolled	CD19-PBMC-1389.bedgraph_rolled	CD19-Tumor-1382.bedgraph_rolled	CD4-PBMC-1313.bedgraph_rolled	CD4-PBMC-1382.bedgraph_rolled	CD4-PBMC-1389.bedgraph_rolled	CD4-Tumor-1382.bedgraph_rolled	CD56-PBMC-1313.bedgraph_rolled	CD56-PBMC-1382.bedgraph_rolled	CD56-PBMC-1389.bedgraph_rolled	CD56-Tumor-1382.bedgraph_rolled	CD8-PBMC-1313.bedgraph_rolled	CD8-PBMC-1382.bedgraph_rolled	CD8-PBMC-1389.bedgraph_rolled	CD8-Tumor-1382.bedgraph_rolled	Epcam-Tumor-1313.bedgraph_rolled	Epcam-Tumor-1382.bedgraph_rolled	Epcam-Tumor-1389.bedgraph_rolled	pvalue	qvalue	fold_change	class1	class2
chr1:181504	8.299999999999999	1.0	8.09999999999999	1.0	1.0	1.0	14.2	1.0	1.0	30.000000000000004	1.0	1.0	5.8	1.0	1.0	27.599999999999998	7.500000000000001	9.999999999999998	1.0	1.0	24.900000000000006	1.0	45.300000000000004	0.36963171595278627	0.3735808921965992	1.9619771199143863	[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True]	[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, False, False]
chr1:181512	1.0	1.0	15.3	1.0	10.90000000000001	1.0	14.900000000000002	1.0	1.0	15.000000000000002	1.0	1.0	1.0	13.299999999999999	13.299999999999999	9.59999999999999	10.300000000000002	1.0	16.0	1.0	42.2	1.0	78.8	0.9059790790893174	0.9059790790893174	0.1308507211322838	[True, True, True, False, True, True, True, False, True, True, True, False, True, True, True, False, True, True, True, False, False, False, False]	[False, False, False, True, False, False, False, True, False, False, False, True, False, False, False, True, False, False, False, True, True, True, True]
chr1:181512	1.0	1.0	15.3	1.0	10.90000000000001	1.0	14.900000000000002	1.0	1.0	15.000000000000002	1.0	1.0	1.0	13.299999999999999	13.299999999999999	9.59999999999999	10.300000000000002	1.0	16.0	1.0	42.2	1.0	78.8	0.3735808921965992	0.3735808921965992	2.2357568135511716	[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True]	[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, False, False]
chr1:181516	21.200000000000003	21.000000000000007	42.2	101.0	10.800000000000002	25.999999999999993	8.40000000000001	34.2	21.000000000000007	30.000000000000004	41.0	75.99999999999999	31.599999999999998	26.399999999999995	13.299999999999999	42.000000000000014	10.800000000000002	20.599999999999998	15.000000000000002	1.0	1.0	1.0	67.6	0.5674610811030729	0.7295928185610937	0.6625084645302985	[True, True, True, False, True, True, True, False, True, True, True, False, True, True, True, False, True, True, True, False, False, False, False]	[False, False, False, True, False, False, False, True, False, False, False, True, False, False, False, True, False, False, False, True, True, True, True]
chr1:181516	21.200000000000003	21.000000000000007	42.2	101.0	10.800000000000002	25.999999999999993	8.40000000000001	34.2	21.000000000000007	30.000000000000004	41.0	75.99999999999999	31.599999999999998	26.399999999999995	13.299999999999999	42.000000000000014	10.800000000000002	20.599999999999998	15.000000000000002	1.0	1.0	1.0	67.6	0.5945698106067832	0.7644468993515783	0.7189274929312939	[False, False, False, True, False, False, False, True, False, False, False, True, False, False, False, True, False, False, False, True, False, False, False]	[True, True, True, False, True, True, True, False, True, True, True, False, True, True, True, False, True, True, True, False, True, True, True]
chr1:631742	1.0	50.69999999999999	17.7	101.0	12.099999999999998	33.99999999999999	1.0	50.999999999999986	21.000000000000007	9.7	1.0	21.000000000000007	10.90000000000001	1.0	1.0	1.0	1.0	1.0	21.000000000000007	1.0	71.99999999999999	84.00000000000003	43.0	0.7767112605540558	0.8738001681233128	0.4561812782437875	[False, False, False, True, False, False, False, True, False, False, False, True, False, False, False, True, False, False, False, True, False, False, False]	[True, True, True, False, True, True, True, False, True, True, True, False, True, True, True, False, True, True, True, False, True, True, True]
chr1:631742	1.0	50.69999999999999	17.7	101.0	12.099999999999998	33.99999999999999	1.0	50.999999999999986	21.000000000000007	9.7	1.0	21.000000000000007	10.90000000000001	1.0	1.0	1.0	1.0	1.0	21.000000000000007	1.0	71.99999999999999	84.00000000000003	43.0	3.076397070391767e-05	0.00016523764519382576	3.459878092081153	[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True]	[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, False, False]
chr1:631787	11.0	25.999999999999993	41.0	101.0	25.899999999999995	56.999999999999986	25.999999999999993	57.99999999999999	17.999999999999996	40.900000000000006	34.29999999999999	25.999999999999993	15.099999999999998	1.0	1.0	1.0	21.000000000000007	25.999999999999993	25.699999999999992	30.000000000000004	95.0	84.00000000000003	85.89999999999999	3.671947670973906e-05	0.00016523764519382576	2.3029442403581006	[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True]	[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, False, False]
chr1:778672	86.8	92.69999999999997	87.6	101.0	73.90000000000002	79.59999999999998	81.2	101.0	67.99999999999999	101.0	101.0	101.0	67.70000000000002	84.30000000000001	101.0	70.5	60.20000000000001	90.19999999999999	72.5	101.0	101.0	101.0	101.0	0.26517652619183146	0.4773177471452966	0.14367284912670808	[False, False, False, True, False, False, False, True, False, False, False, True, False, False, False, True, False, False, False, True, False, False, False]	[True, True, True, False, True, True, True, False, True, True, True, False, True, True, True, False, True, True, True, False, True, True, True]
chr1:778672	86.8	92.69999999999997	87.6	101.0	73.90000000000002	79.59999999999998	81.2	101.0	67.99999999999999	101.0	101.0	101.0	67.70000000000002	84.30000000000001	101.0	70.5	60.20000000000001	90.19999999999999	72.5	101.0	101.0	101.0	101.0	0.00018482260898492085	0.0005544678269547626	0.24859739419522864	[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, True, True]	[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, False, False]
